tour,place,prize,team
StarLadder i-League Invitational #2,3,"$10,000",Invictus Gaming
StarLadder i-League Invitational #2,3,"$10,000",Newbee
StarLadder i-League Invitational #2,5,"$5,000",Alliance
StarLadder i-League Invitational #2,5,"$5,000",Vega Squadron
StarLadder i-League Invitational #2,7,"$2,500",Team VGJ
StarLadder i-League Invitational #2,7,"$2,500",Team Faceless
The Kiev Major 2017,1,"$1,000,000",OG
The Kiev Major 2017,2,"$500,000",Virtus.pro
The Kiev Major 2017,3,"$250,000",Invictus Gaming
The Kiev Major 2017,3,"$250,000",Evil Geniuses
The Kiev Major 2017,5,"$125,000",Team Liquid
The Kiev Major 2017,5,"$125,000",Team Faceless
The Kiev Major 2017,5,"$125,000",Team VGJ
The Kiev Major 2017,5,"$125,000",SG e-sports
The Kiev Major 2017,9,"$62,500",mousesports
The Kiev Major 2017,9,"$62,500",Newbee
The Kiev Major 2017,9,"$62,500",Digital Chaos
The Kiev Major 2017,9,"$62,500",iG Vitality
The Kiev Major 2017,9,"$62,500",TNC Pro Team
The Kiev Major 2017,9,"$62,500",Team Random
The Kiev Major 2017,9,"$62,500",Thunderbirds
The Kiev Major 2017,9,"$62,500",Team Secret
Dota 2 Asia Championships 2017,1,"$244,798",Invictus Gaming
Dota 2 Asia Championships 2017,2,"$91,799",OG
Dota 2 Asia Championships 2017,3,"$73,439",Newbee
Dota 2 Asia Championships 2017,4,"$55,079",iG Vitality
Dota 2 Asia Championships 2017,5,"$36,719",Team Empire
Dota 2 Asia Championships 2017,5,"$36,719",Evil Geniuses
Dota 2 Asia Championships 2017,7,"$18,359",Team VGJ
Dota 2 Asia Championships 2017,7,"$18,359",Team Faceless
Dota 2 Asia Championships 2017,9,"$9,179",LGD.Forever Young
Dota 2 Asia Championships 2017,9,"$9,179",Team NP
Dota 2 Asia Championships 2017,9,"$9,179",Wings Gaming
Dota 2 Asia Championships 2017,9,"$9,179",Team Liquid
StarLadder i-League StarSeries Season 3,1,"$135,000",Team Liquid
StarLadder i-League StarSeries Season 3,2,"$60,000",Team VGJ
StarLadder i-League StarSeries Season 3,3,"$30,000",TNC Pro Team
StarLadder i-League StarSeries Season 3,3,"$30,000",OG
StarLadder i-League StarSeries Season 3,5,"$15,000",Team Secret
StarLadder i-League StarSeries Season 3,5,"$15,000",Wings Gaming
StarLadder i-League StarSeries Season 3,7,"$7,500",iG Vitality
StarLadder i-League StarSeries Season 3,7,"$7,500",Digital Chaos
Dota Pit League Season 5,1,"$62,937",Evil Geniuses
Dota Pit League Season 5,2,"$34,965",OG
Dota Pit League Season 5,3,"$25,174",Team Faceless
Dota Pit League Season 5,4,"$16,783",Invictus Gaming
Dota Pit League Season 5,4,"$16,783",Team Secret
Dota Pit League Season 5,4,"$16,783",Virtus.pro
Dota Pit League Season 5,4,"$16,783",Elements Pro
Dota Pit League Season 5,4,"$16,783",Digital Chaos
World Electronic Sports Games 2016,1,"$800,000",TNC Pro Team
World Electronic Sports Games 2016,2,"$400,000",Cloud9
World Electronic Sports Games 2016,3,"$200,000",Alliance
World Electronic Sports Games 2016,4,"$60,000",Infamous
World Electronic Sports Games 2016,5,"$10,000",To.be.or.not.to.be
World Electronic Sports Games 2016,5,"$10,000",DUOBAO Young
World Electronic Sports Games 2016,5,"$10,000",SG e-sports
World Electronic Sports Games 2016,5,"$10,000",Team DileCom
World Electronic Sports Games 2016,5,"$10,000",Dark Passage
World Electronic Sports Games 2016,5,"$10,000",MAX.Y
World Electronic Sports Games 2016,5,"$10,000",MVP Revolution
World Electronic Sports Games 2016,5,"$10,000",Romania
World Electronic Sports Games 2016,5,"$10,000",Horde
World Electronic Sports Games 2016,5,"$10,000",Fantastic Five
World Electronic Sports Games 2016,5,"$10,000",s1 Lykos
World Electronic Sports Games 2016,5,"$10,000",Ukraine
World Electronic Sports Games 2016,5,"$10,000",Bravado Gaming
World Electronic Sports Games 2016,5,"$10,000",Team X-BET
World Electronic Sports Games 2016,5,"$10,000",Aboshamalah
World Electronic Sports Games 2016,5,"$10,000",Comanche
World Electronic Sports Games 2016,5,"$10,000",T Show
World Electronic Sports Games 2016,5,"$10,000",Vultur
World Electronic Sports Games 2016,5,"$10,000",Team One Ecuador
World Electronic Sports Games 2016,5,"$10,000",Signature.Trust
ESL One Genting 2017,1,"$125,000",Digital Chaos
ESL One Genting 2017,2,"$50,000",Newbee
ESL One Genting 2017,3,"$22,500",Virtus.pro
ESL One Genting 2017,3,"$22,500",Wings Gaming
ESL One Genting 2017,5,"$10,000",Team NP
ESL One Genting 2017,5,"$10,000",Execration
ESL One Genting 2017,7,"$5,000",Fnatic
ESL One Genting 2017,7,"$5,000",WarriorsGaming.Unity
World Cyber Arena 2016,1,"$344,928",iG Vitality
World Cyber Arena 2016,2,"$143,720",Vici Gaming
World Cyber Arena 2016,3,"$71,860",We Are Young
World Cyber Arena 2016,4,"$28,744",Prodota Gaming
World Cyber Arena 2016,4,"$28,744",VINCE TE IPSUM
World Cyber Arena 2016,4,"$28,744",Vega Squadron
World Cyber Arena 2016,4,"$28,744",Newbee
World Cyber Arena 2016,4,"$28,744",WarriorsGaming.Unity
World Cyber Arena 2016,4,"$28,744",TNC Pro Team
World Cyber Arena 2016,4,"$28,744",Union Gaming BO
The Boston Major 2016,1,"$1,000,000",OG
The Boston Major 2016,2,"$500,000",Ad Finem
The Boston Major 2016,3,"$250,000",Evil Geniuses
The Boston Major 2016,3,"$250,000",Digital Chaos
The Boston Major 2016,5,"$125,000",Virtus.pro
The Boston Major 2016,5,"$125,000",WarriorsGaming.Unity
The Boston Major 2016,5,"$125,000",Team NP
The Boston Major 2016,5,"$125,000",LGD.Forever Young
The Boston Major 2016,9,"$62,500",iG Vitality
The Boston Major 2016,9,"$62,500",Wings Gaming
The Boston Major 2016,9,"$62,500",compLexity Gaming
The Boston Major 2016,9,"$62,500",MVP Phoenix
The Boston Major 2016,9,"$62,500",Team Faceless
The Boston Major 2016,9,"$62,500",EHOME
The Boston Major 2016,9,"$62,500",Newbee
The Boston Major 2016,9,"$62,500",LGD Gaming
The Summit 6,1,"$42,500",Virtus.pro
The Summit 6,2,"$22,500",OG
The Summit 6,3,"$13,000",Evil Geniuses
The Summit 6,4,"$10,000",Wings Gaming
The Summit 6,5,"$3,500",Team NP
The Summit 6,5,"$3,500",Digital Chaos
The Summit 6,7,"$2,500",EHOME
The Summit 6,7,"$2,500",Team Faceless
Northern Arena BEAT Invitational,1,"$48,000",Wings Gaming
Northern Arena BEAT Invitational,2,"$20,000",Team NP
Northern Arena BEAT Invitational,3,"$12,000",EHOME
Northern Arena BEAT Invitational,4,"$8,000",Evil Geniuses
Northern Arena BEAT Invitational,5,"$4,000",Ad Finem
Northern Arena BEAT Invitational,5,"$4,000",Alliance
Northern Arena BEAT Invitational,7,"$2,000",FDL
Northern Arena BEAT Invitational,7,"$2,000",compLexity Gaming
Mars Dota 2 League 2016 Autumn,1,"$112,500",Evil Geniuses
Mars Dota 2 League 2016 Autumn,2,"$50,000",Newbee
Mars Dota 2 League 2016 Autumn,3,"$31,250",OG
Mars Dota 2 League 2016 Autumn,4,"$18,750",Team Secret
Mars Dota 2 League 2016 Autumn,5,"$12,500",Vici Gaming
Mars Dota 2 League 2016 Autumn,5,"$12,500",LGD.Forever Young
Mars Dota 2 League 2016 Autumn,7,"$6,250",MVP Phoenix
Mars Dota 2 League 2016 Autumn,7,"$6,250",iG Vitality
The International 2016,1,"$9,139,002",Wings Gaming
The International 2016,2,"$3,427,126",Digital Chaos
The International 2016,3,"$2,180,898",Evil Geniuses
The International 2016,4,"$1,453,932",Fnatic
The International 2016,5,"$934,761",EHOME
The International 2016,5,"$934,761",MVP Phoenix
The International 2016,7,"$519,262",TNC Pro Team
The International 2016,7,"$519,262",Team Liquid
The International 2016,9,"$311,557",OG
The International 2016,9,"$311,557",LGD Gaming
The International 2016,9,"$311,557",Alliance
The International 2016,9,"$311,557",Newbee
The International 2016,13,"$103,852",Vici Gaming Reborn
The International 2016,13,"$103,852",Team Secret
The International 2016,13,"$103,852",Escape Gaming
The International 2016,13,"$103,852",Natus Vincere
SL i-League StarSeries Season 2,1,"$135,000",Natus Vincere
SL i-League StarSeries Season 2,2,"$60,000",Team Secret
SL i-League StarSeries Season 2,3,"$37,500",Fnatic
SL i-League StarSeries Season 2,4,"$22,500",F.R.I.E.N.D.S.
SL i-League StarSeries Season 2,5,"$15,000",Digital Chaos
SL i-League StarSeries Season 2,5,"$15,000",Evil Geniuses
SL i-League StarSeries Season 2,7,"$7,500",CDEC Youth
SL i-League StarSeries Season 2,7,"$7,500",compLexity Gaming
The Summit 5,1,"$42,944",Wings Gaming
The Summit 5,2,"$22,735",OG
The Summit 5,3,"$13,136",Team Liquid
The Summit 5,4,"$10,104",Natus Vincere
The Summit 5,5,"$3,537",Digital Chaos
The Summit 5,5,"$3,537",Fnatic
The Summit 5,7,"$2,526",FDL
The Summit 5,7,"$2,526",Ad Finem
Nanyang Dota 2 Championships Season 2,1,"$100,610",Newbee
Nanyang Dota 2 Championships Season 2,2,"$50,305",Wings Gaming
Nanyang Dota 2 Championships Season 2,3,"$25,152",LGD Gaming
Nanyang Dota 2 Championships Season 2,4,"$10,102",CDEC Youth
Nanyang Dota 2 Championships Season 2,5,"$7,551",Digital Chaos
Nanyang Dota 2 Championships Season 2,5,"$7,551",Vici Gaming Reborn
Nanyang Dota 2 Championships Season 2,5,"$7,551",Team Empire
Nanyang Dota 2 Championships Season 2,5,"$7,551",WarriorsGaming.Unity
ESL One Frankfurt 2016,1,"$157,273",OG
ESL One Frankfurt 2016,2,"$62,909",Natus Vincere
ESL One Frankfurt 2016,3,"$28,309",Vega Squadron
ESL One Frankfurt 2016,3,"$28,309",Team Liquid
ESL One Frankfurt 2016,5,"$12,582",compLexity Gaming
ESL One Frankfurt 2016,5,"$12,582",Alliance
ESL One Frankfurt 2016,7,"$6,291",Virtus.pro
ESL One Frankfurt 2016,7,"$6,291",Fnatic
The Manila Major 2016,1,"$1,110,000",OG
The Manila Major 2016,2,"$405,000",Team Liquid
The Manila Major 2016,3,"$315,000",Newbee
The Manila Major 2016,4,"$255,000",LGD Gaming
The Manila Major 2016,5,"$202,500",Fnatic
The Manila Major 2016,5,"$202,500",MVP Phoenix
The Manila Major 2016,7,"$105,000",Natus Vincere
The Manila Major 2016,7,"$105,000",Vici Gaming Reborn
The Manila Major 2016,9,"$45,000",compLexity Gaming
The Manila Major 2016,9,"$45,000",Alliance
The Manila Major 2016,9,"$45,000",Digital Chaos
The Manila Major 2016,9,"$45,000",Team Empire
The Manila Major 2016,13,"$30,000",Wings Gaming
The Manila Major 2016,13,"$30,000",Mineski.Sports5
The Manila Major 2016,13,"$30,000",Evil Geniuses
The Manila Major 2016,13,"$30,000",Team Secret
EPICENTER 2016,1,"$250,000",Team Liquid
EPICENTER 2016,2,"$100,000",Newbee
EPICENTER 2016,3,"$60,000",OG
EPICENTER 2016,4,"$30,000",compLexity Gaming
EPICENTER 2016,5,"$20,000",Alliance
EPICENTER 2016,5,"$20,000",Evil Geniuses
EPICENTER 2016,7,"$10,000",Team Secret
EPICENTER 2016,7,"$10,000",Virtus.pro
WePlay Dota2 League Season 3,1,"$104,120",MVP Phoenix
WePlay Dota2 League Season 3,2,"$41,648",Vega Squadron
WePlay Dota2 League Season 3,3,"$22,906",Evil Geniuses
WePlay Dota2 League Season 3,4,"$12,494",Team Empire
WePlay Dota2 League Season 3,5,"$8,330",Elite Wolves
WePlay Dota2 League Season 3,5,"$8,330",Natus Vincere
WePlay Dota2 League Season 3,7,"$5,206",Ad Finem
WePlay Dota2 League Season 3,7,"$5,206",Team Spirit
ESL One Manila 2016,1,"$100,000",Wings Gaming
ESL One Manila 2016,2,"$50,000",Team Liquid
ESL One Manila 2016,3,"$25,000",Team Empire
ESL One Manila 2016,3,"$25,000",Fnatic
ESL One Manila 2016,5,"$12,500",Team Secret
ESL One Manila 2016,5,"$12,500",compLexity Gaming
ESL One Manila 2016,7,"$12,500",Mineski.Sports5
ESL One Manila 2016,7,"$12,500",EHOME
StarLadder i-League Invitational #1,1,"$45,000",Vici Gaming Reborn
StarLadder i-League Invitational #1,2,"$20,000",Natus Vincere
StarLadder i-League Invitational #1,3,"$12,000",LGD Gaming
StarLadder i-League Invitational #1,4,"$7,500",OG
StarLadder i-League Invitational #1,5,"$5,000",Alliance
StarLadder i-League Invitational #1,5,"$5,000",Virtus.pro
StarLadder i-League Invitational #1,7,"$2,500",MVP Phoenix
StarLadder i-League Invitational #1,7,"$2,500",Vega Squadron
Dota Pit League Season 4,1,"$97,637",MVP Phoenix
Dota Pit League Season 4,2,"$46,866",Evil Geniuses
Dota Pit League Season 4,3,"$25,386",compLexity Gaming
Dota Pit League Season 4,3,"$25,386",Natus Vincere
Dota Pit League Season 4,3,"$25,386",Virtus.pro
Dota Pit League Season 4,3,"$25,386",OG
Dota Pit League Season 4,3,"$25,386",Team Secret
Dota Pit League Season 4,3,"$25,386",Team Empire
The Shanghai Major 2016,1,"$1,110,000",Team Secret
The Shanghai Major 2016,2,"$405,000",Team Liquid
The Shanghai Major 2016,3,"$315,000",Evil Geniuses
The Shanghai Major 2016,4,"$255,000",MVP Phoenix
The Shanghai Major 2016,5,"$202,500",compLexity Gaming
The Shanghai Major 2016,5,"$202,500",Fnatic
The Shanghai Major 2016,7,"$105,000",Alliance
The Shanghai Major 2016,7,"$105,000",OG
The Shanghai Major 2016,9,"$45,000",EHOME
The Shanghai Major 2016,9,"$45,000",LGD Gaming
The Shanghai Major 2016,9,"$45,000",Virtus.pro
The Shanghai Major 2016,9,"$45,000",Newbee
The Shanghai Major 2016,13,"$30,000",Team Archon
The Shanghai Major 2016,13,"$30,000",Team Spirit
The Shanghai Major 2016,13,"$30,000",Vici Gaming
The Shanghai Major 2016,13,"$30,000",CDEC Gaming
MarsTV Dota 2 League 2015 Winter,1,"$124,950",EHOME
MarsTV Dota 2 League 2015 Winter,2,"$55,533",Evil Geniuses
MarsTV Dota 2 League 2015 Winter,3,"$27,766",OG
MarsTV Dota 2 League 2015 Winter,4,"$22,213",LGD Gaming
MarsTV Dota 2 League 2015 Winter,5,"$13,883",Newbee
MarsTV Dota 2 League 2015 Winter,5,"$13,883",Vici Gaming
MarsTV Dota 2 League 2015 Winter,7,"$6,941",Team Secret
MarsTV Dota 2 League 2015 Winter,7,"$6,941",compLexity Gaming
MarsTV Dota 2 League 2015 Winter,9,"$2,776",Team Spirit
MarsTV Dota 2 League 2015 Winter,9,"$2,776",Mineski.Sports5
SL i-League StarSeries Season 1,1,"$120,891",Alliance
SL i-League StarSeries Season 1,2,"$60,445",Evil Geniuses
SL i-League StarSeries Season 1,3,"$30,223",LGD Gaming
SL i-League StarSeries Season 1,3,"$30,223",Team Liquid
SL i-League StarSeries Season 1,5,"$15,111",Vega Squadron
SL i-League StarSeries Season 1,5,"$15,111",Team Secret
SL i-League StarSeries Season 1,7,"$5,047",Fnatic
SL i-League StarSeries Season 1,7,"$5,047",Virtus.pro
SL i-League StarSeries Season 1,7,"$5,047",Natus Vincere
SL i-League StarSeries Season 1,7,"$5,047",Wings Gaming
SL i-League StarSeries Season 1,7,"$5,047",Team Spirit
SL i-League StarSeries Season 1,7,"$5,047",compLexity Gaming
World Cyber Arena 2015,1,"$370,200",Alliance
World Cyber Arena 2015,2,"$169,675",LGD Gaming
World Cyber Arena 2015,3,"$77,125",Team Liquid
World Cyber Arena 2015,4,"$46,275",Wings Gaming
World Cyber Arena 2015,4,"$46,275",Team Leviathan
World Cyber Arena 2015,4,"$46,275",CDEC Gaming
World Cyber Arena 2015,4,"$46,275",Team Empire
World Cyber Arena 2015,4,"$46,275",TNC Pro Team
World Cyber Arena 2015,4,"$46,275",Team Secret
World Cyber Arena 2015,4,"$46,275",Team YP
World Cyber Arena 2015,4,"$46,275",Invictus Gaming
World Cyber Arena 2015,4,"$46,275",MVP Phoenix
World Cyber Arena 2015,4,"$46,275",Fnatic
World Cyber Arena 2015,4,"$46,275",Newbee
World Cyber Arena 2015,4,"$46,275",Execration
World Cyber Arena 2015,4,"$46,275",Digital Chaos
The Summit 4,1,"$48,818",Evil Geniuses
The Summit 4,2,"$25,845",Virtus.pro
The Summit 4,3,"$14,933",Vici Gaming
The Summit 4,4,"$11,487",OG
The Summit 4,5,"$4,020",Team Liquid
The Summit 4,5,"$4,020",EHOME
The Summit 4,7,"$2,872",Mineski.Sports5
The Summit 4,7,"$2,872",Digital Chaos
Game Show Global eSports Cup Season 1,1,"$125,000",Team Empire
Game Show Global eSports Cup Season 1,2,"$65,000",4 Clover & Lepricon
Game Show Global eSports Cup Season 1,3,"$35,000",Vega Squadron
Game Show Global eSports Cup Season 1,4,"$25,000",MVP Phoenix
Game Show Global eSports Cup Season 1,5,"$15,000",No Logic Gaming
Game Show Global eSports Cup Season 1,5,"$15,000",compLexity Gaming
Frankfurt Major 2015,1,"$1,110,000",OG
Frankfurt Major 2015,2,"$405,000",Team Secret
Frankfurt Major 2015,3,"$315,000",Evil Geniuses
Frankfurt Major 2015,4,"$255,000",EHOME
Frankfurt Major 2015,5,"$202,500",CDEC Gaming
Frankfurt Major 2015,5,"$202,500",Vici Gaming
Frankfurt Major 2015,7,"$105,000",Virtus.pro
Frankfurt Major 2015,7,"$105,000",LGD Gaming
Frankfurt Major 2015,9,"$45,000",Alliance
Frankfurt Major 2015,9,"$45,000",Mineski.Sports5
Frankfurt Major 2015,9,"$45,000",Team Unknown
Frankfurt Major 2015,9,"$45,000",Vega Squadron
Frankfurt Major 2015,13,"$30,000",Cloud9
Frankfurt Major 2015,13,"$30,000",Fnatic
Frankfurt Major 2015,13,"$30,000",Newbee
Frankfurt Major 2015,13,"$30,000",Newbee Young
Nanyang Dota 2 Championships Season 1,1,"$105,688",Team Secret
Nanyang Dota 2 Championships Season 1,2,"$52,844",Vici Gaming
Nanyang Dota 2 Championships Season 1,3,"$26,422",EHOME
Nanyang Dota 2 Championships Season 1,4,"$17,615",Team Liquid
Nanyang Dota 2 Championships Season 1,5,"$8,807",Virtus.pro
Nanyang Dota 2 Championships Season 1,5,"$8,807",CDEC Gaming
Nanyang Dota 2 Championships Season 1,5,"$8,807",Digital Chaos
Nanyang Dota 2 Championships Season 1,5,"$8,807",LGD Gaming
Nanyang Dota 2 Championships Season 1,5,"$8,807",Mineski
Nanyang Dota 2 Championships Season 1,5,"$8,807",Fnatic
MLG World Finals 2015,1,"$113,982",Team Secret
MLG World Finals 2015,2,"$68,389",Evil Geniuses
MLG World Finals 2015,3,"$34,194",(monkey) Business
MLG World Finals 2015,3,"$34,194",CDEC Gaming
MLG World Finals 2015,5,"$11,398",Virtus.pro
MLG World Finals 2015,5,"$11,398",MVP Phoenix
MLG World Finals 2015,7,"$5,699",LGD Gaming
MLG World Finals 2015,7,"$5,699",Cloud9
ESL One New York 2015,1,"$114,649",Vega Squadron
ESL One New York 2015,2,"$57,324",Team Secret
ESL One New York 2015,3,"$28,662",CDEC Gaming
ESL One New York 2015,3,"$28,662",Invictus Gaming
ESL One New York 2015,5,"$14,331",Fnatic
ESL One New York 2015,5,"$14,331",Team Archon
ESL One New York 2015,5,"$14,331",Virtus.pro
ESL One New York 2015,5,"$14,331",Evil Geniuses
The International 2015,1,"$6,634,661",Evil Geniuses
The International 2015,2,"$2,856,590",CDEC Gaming
The International 2015,3,"$2,211,554",LGD Gaming
The International 2015,4,"$1,566,517",Vici Gaming
The International 2015,5,"$1,197,925",EHOME
The International 2015,5,"$1,197,925",Virtus.pro
The International 2015,7,"$829,333",MVP Phoenix
The International 2015,7,"$829,333",Team Secret
The International 2015,9,"$221,155",Team Empire
The International 2015,9,"$221,155",Cloud9
The International 2015,9,"$221,155",compLexity Gaming
The International 2015,9,"$221,155",Invictus Gaming
The International 2015,13,"$55,289",Newbee
The International 2015,13,"$55,289",Natus Vincere
The International 2015,13,"$55,289",Fnatic
The International 2015,13,"$55,289",MVP HOT6ix
Dota Pit League Season 3,1,"$126,055",Evil Geniuses
Dota Pit League Season 3,2,"$57,056",Cloud9
Dota Pit League Season 3,3,"$39,807",Virtus.pro
Dota Pit League Season 3,4,"$21,230",Ninjas in Pyjamas
Dota Pit League Season 3,5,"$10,615",Team Secret
Dota Pit League Season 3,5,"$10,615",HellRaisers
Dota Pit League Season 3,5,"$10,615",mousesports
Dota Pit League Season 3,5,"$10,615",Alliance
Dota Pit League Season 3,5,"$10,615",Team Empire
Dota Pit League Season 3,5,"$10,615",Vega Squadron
Dota Pit League Season 3,5,"$10,615",Power Rangers
Dota Pit League Season 3,5,"$10,615",mYinsanity
Esportal Dota 2 League,1,"$32,000",Virtus.pro
Esportal Dota 2 League,2,"$16,000",Team Empire
Esportal Dota 2 League,3,"$4,800",Vega Squadron
Esportal Dota 2 League,3,"$4,800",4 Anchors + SC
Esportal Dota 2 League,5,"$1,600",4 Clover & Lepricon
Esportal Dota 2 League,5,"$1,600",mYinsanity
Esportal Dota 2 League,5,"$1,600",Power Rangers
Esportal Dota 2 League,5,"$1,600",HellRaisers
ESL One Frankfurt 2015,1,"$118,481",Team Secret
ESL One Frankfurt 2015,2,"$59,241",Evil Geniuses
ESL One Frankfurt 2015,3,"$29,620",Virtus.pro
ESL One Frankfurt 2015,3,"$29,620",Invictus Gaming
ESL One Frankfurt 2015,5,"$14,810",Alliance
ESL One Frankfurt 2015,5,"$14,810",Vici Gaming
ESL One Frankfurt 2015,5,"$14,810",Cloud9
ESL One Frankfurt 2015,5,"$14,810",Fnatic
ASUS ROG DreamLeague Season 3,1,"$54,875",Virtus.pro
ASUS ROG DreamLeague Season 3,2,"$32,437",Natus Vincere
ASUS ROG DreamLeague Season 3,3,"$19,937",Ninjas in Pyjamas
ASUS ROG DreamLeague Season 3,4,"$12,458",Alliance
ASUS ROG DreamLeague Season 3,5,"$9,958",Burden United
ASUS ROG DreamLeague Season 3,6,"$9,958",Basically Unknown
ASUS ROG DreamLeague Season 3,7,"$5,479",Vega Squadron
ASUS ROG DreamLeague Season 3,7,"$5,479",Team Empire
MarsTV Dota 2 League 2015 Spring,1,"$108,817",Team Secret
MarsTV Dota 2 League 2015 Spring,2,"$48,363",Team Empire
MarsTV Dota 2 League 2015 Spring,3,"$29,018",Cloud9
MarsTV Dota 2 League 2015 Spring,4,"$19,345",Vici Gaming
MarsTV Dota 2 League 2015 Spring,5,"$12,091",CDEC Gaming
MarsTV Dota 2 League 2015 Spring,5,"$12,091",LGD Gaming
MarsTV Dota 2 League 2015 Spring,5,"$12,091",EHOME
MarsTV Dota 2 League 2015 Spring,5,"$12,091",Invictus Gaming
MarsTV Dota 2 League 2015 Spring,5,"$12,091",Newbee
MarsTV Dota 2 League 2015 Spring,5,"$12,091",Natus Vincere
joinDOTA MLG Pro League Season 2,1,"$66,899",Ninjas in Pyjamas
joinDOTA MLG Pro League Season 2,2,"$41,812",Alliance
joinDOTA MLG Pro League Season 2,3,"$25,087",Fnatic
joinDOTA MLG Pro League Season 2,4,"$16,725",London Conspiracy
joinDOTA MLG Pro League Season 2,5,"$8,362",Virtus.pro
joinDOTA MLG Pro League Season 2,5,"$8,362",Evil Geniuses
joinDOTA MLG Pro League Season 2,5,"$8,362",mousesports
joinDOTA MLG Pro League Season 2,5,"$8,362",Summer's Rift
i-League Season 3,1,"$213,360",LGD Gaming
