tour,place,prize,team
Shanghai Dota 2 Open #2,7,"$4,495",Newbee Young
Shanghai Dota 2 Open #2,7,"$4,495",DUOBAO
Shanghai Dota 2 Open #2,7,"$4,495",Longwan
Shanghai Dota 2 Open #2,7,"$4,495",EHOME.X
Shanghai Dota 2 Open #2,7,"$4,495",Execration
Shanghai Dota 2 Open #2,7,"$4,495",We Are Young
Shanghai Dota 2 Open #2,7,"$4,495",EHOME.Luminous
Shanghai Dota 2 Open #2,7,"$4,495",TongFu
Shanghai Dota 2 Open #2,7,"$4,495",Rock
Shanghai Dota 2 Open #2,7,"$4,495",MAX.X
World Cyber Arena 2016 Chinese Qualifiers S2,1,"$29,978",iG Vitality
World Cyber Arena 2016 Chinese Qualifiers S2,2,"$14,989",Newbee
World Cyber Arena 2016 Chinese Qualifiers S2,3,"$7,495",CDEC Youth
World Cyber Arena 2016 Chinese Qualifiers S2,4,"$1,499",TongFu
World Cyber Arena 2016 Chinese Qualifiers S2,5,"$1,499",LGD Gaming
World Cyber Arena 2016 Chinese Qualifiers S2,5,"$1,499",Vici Gaming Reborn
World Cyber Arena 2016 Chinese Qualifiers S2,7,"$1,499",FTD club C
World Cyber Arena 2016 Chinese Qualifiers S2,7,"$1,499",Vici Gaming
MPGL Southeast Asian Championship,1,"$30,000",Execration
MPGL Southeast Asian Championship,2,"$10,000",MVP Phoenix
MPGL Southeast Asian Championship,3,"$3,000",Mineski.GGNetwork
MPGL Southeast Asian Championship,4,"$1,600",Fnatic
MPGL Southeast Asian Championship,5,"$1,200",Power Gaming
MPGL Southeast Asian Championship,5,"$1,200",WarriorsGaming.Unity
MPGL Southeast Asian Championship,7,"$1,000",Tangerine
MPGL Southeast Asian Championship,7,"$1,000",Signature.Trust
MPGL Southeast Asian Championship,9,$500,White Fries Gaming
MPGL Southeast Asian Championship,9,$500,EHOME.Keen
World Cyber Arena 2016 EU Main Qualifier,1,"$27,140",Kaipi
World Cyber Arena 2016 EU Main Qualifier,2,"$13,570",Vega Squadron
World Cyber Arena 2016 EU Main Qualifier,3,"$6,785",Escape Gaming
World Cyber Arena 2016 EU Main Qualifier,4,"$1,357",Team Empire
World Cyber Arena 2016 EU Main Qualifier,5,"$1,357",Fantastic Five
World Cyber Arena 2016 EU Main Qualifier,5,"$1,357",Alliance
World Cyber Arena 2016 EU Main Qualifier,7,"$1,357",Ad Finem
World Cyber Arena 2016 EU Main Qualifier,7,"$1,357",Elements One
World Electronic Sports Games 2016 Middle East & Africa Finals,1,"$29,965",Aboshamalah
World Electronic Sports Games 2016 Middle East & Africa Finals,2,"$17,979",Dark Passage
World Electronic Sports Games 2016 Middle East & Africa Finals,3,"$8,989",Bravado Gaming
World Electronic Sports Games 2016 Middle East & Africa Finals,4,"$5,993",Slice N' Dice
World Electronic Sports Games 2016 Middle East & Africa Finals,5,"$2,996",White Rabbit Gaming
World Electronic Sports Games 2016 Middle East & Africa Finals,5,"$2,996",Psuedo Gaming
World Electronic Sports Games 2016 Middle East & Africa Finals,7,"$2,996",KnownFor
World Electronic Sports Games 2016 Middle East & Africa Finals,7,"$2,996",PUB PLAYERS
VPGame Pro League Season 2,1,"$22,599",iG Vitality
VPGame Pro League Season 2,2,"$12,053",CDEC Avenger
VPGame Pro League Season 2,3,"$7,533",FTD club C
VPGame Pro League Season 2,4,"$3,013",EHOME.Keen
VPGame Pro League Season 2,4,"$3,013",TongFu
VPGame Pro League Season 2,4,"$3,013",BraveHeart.Zombie
VPGame Pro League Season 2,4,"$3,013",CDEC Gaming
VPGame Pro League Season 2,4,"$3,013",Brave Heart
VPGame Pro League Season 2,4,"$3,013",Vici Gaming
VPGame Pro League Season 2,4,"$3,013",We Are Young
VPGame Pro League Season 2,4,"$3,013",Newbee Young
VPGame Pro League Season 2,4,"$3,013",EHOME.Luminous
VPGame Pro League Season 2,4,"$3,013",DUOBAO
VPGame Pro League Season 2,4,"$3,013",To.be.or.not.to.be
VPGame Pro League Season 2,4,"$3,013",Avalon Club
VPGame Pro League Season 2,4,"$3,013",FTD club A
Global Grand Masters,1,"$25,000",Team Empire
Global Grand Masters,2,"$12,500",Vega Squadron
Global Grand Masters,3,"$7,500",Alliance
Global Grand Masters,4,"$5,000",Power Rangers
Global Grand Masters,4,"$5,000",Escape Gaming
Global Grand Masters,4,"$5,000",Ad Finem
Global Grand Masters,4,"$5,000",Team Liquid
Global Grand Masters,4,"$5,000",Flipsid3 Tactics
Pro Gamer League 2016 (PGL 2016) - Summer,1,"$50,000",MVP Phoenix
Pro Gamer League 2016 (PGL 2016) - Summer,2,"$30,000",CDEC Gaming
Pro Gamer League 2016 (PGL 2016) - Summer,3,"$20,000",iG Vitality
Pro Gamer League 2016 (PGL 2016) - Summer,3,"$20,000",EHOME.Keen
Pro Gamer League 2016 (PGL 2016) - Summer,3,"$20,000",TongFu
Pro Gamer League 2016 (PGL 2016) - Summer,3,"$20,000",Brave Heart
Pro Gamer League 2016 (PGL 2016) - Summer,3,"$20,000",CDEC Avenger
Pro Gamer League 2016 (PGL 2016) - Summer,3,"$20,000",Mineski.Sports5
Dota2 Professional League Season 1,1,"$14,000",LGD Gaming
Dota2 Professional League Season 1,2,"$14,000",Newbee
Dota2 Professional League Season 1,3,"$14,000",Vici Gaming Reborn
Dota2 Professional League Season 1,4,"$14,000",Wings Gaming
Dota2 Professional League Season 1,5,"$14,000",iG Vitality
Dota2 Professional League Season 1,6,"$14,000",FTD club C
Dota2 Professional League Season 1,7,"$14,000",CDEC Gaming
Dota2 Professional League Season 1,8,"$14,000",Invictus Gaming
Dota2 Professional League Season 1,9,"$14,000",EHOME
Dota2 Professional League Season 1,10,"$14,000",CDEC Youth
Dota2 Professional League Season 1,11,"$5,000",Vici Gaming
Dota2 Professional League Season 1,12,"$5,000",TongFu
Dota2 Professional League Season 1,13,"$5,000",Newbee Young
Dota2 Professional League Season 1,14,"$5,000",EHOME.Keen
