country,player,name,dob
Brazil,Costabile,Guilherme Silva,
Denmark,Cr1t-,Andreas Franck,1996-07-13
Czech Republic,CraNich,Petr Meluzin,
Russia,Crazy,Oleg Kolesnichenko,
South Korea,Crio J,Choi Jong,1989-10-07
Ukraine,Crystallize,Vladislav Krystanek,1999-08-08
China,Cty,Chen Tianyu,1994-12-16
China,Yim,Long Zhan,1993-05-22
United Kingdom,Cyborgmatt,Matthew Bailey,
South Korea,CyNiCaL,Jung Dong,
Brazil,Cys,Kaue Camuci,1995-03-16
Sweden,CYso,Julius Åberg,1992-04-28
Malaysia,Dabeliuteef,Jun Liong,
Sweden,DancingDragon,Josef Bernhardsson,
China,Dark,Song Runxi,
China,DD,Xie Bin,
Macau,Ddc,Leong Fat,1990-07-03
China,DDR,Ruan Zhenghao,
Argentina,DDX-,Alan Salvati,1990-12-18
Malaysia,Ddz,Kok Yi,
USA,DeMoN,Jimmy Ho,1990-07-08
China,Demons,Xiao Zuoyi,
Ukraine,Dendi,Danil Ishutin,1989-12-30
China,Destiny,Huang Hao,
Russia,Ditya Ra,Dmitry Minenkov,1995-03-26
Philippines,DJ,Djardel Jicko,1994-11-06
Ukraine,DkPhobos,Alexander Kucheria,1989-08-27
Croatia,Dnz,Dino ?avuk,1994-12-23
South Korea,Doctor,Son Kyung,
China,Dog 7,Wang Zhenzhou,
USA,Draskyl,Andy Stiles,1988-01-19
Sweden,Drayich,Kim Larsson,1982-12-22
Russia,Dread,Andrey Golubev,1991-01-19
Indonesia,Dreamocel,Randy Muhammad,1998-01-14
China,DreamyU,Xue Zhuorui,
Ukraine,Droog,Dmitry Chumachenko,1988-08-23
South Korea,DuBu,Kim Doo,1993-07-12
USA,DurpDurp,Erik Kamerling,
Brazil,Duster,Heitor Pereira,2000-08-08
Netherlands,Dutch Freak,Hugo Bos,
China,DXM,Ding Zhenghao,
USA,Eagle,Shane Milke,
Ukraine,Ecnart,Sergey Slobodyanyk,
Sweden,EGM,Jerry Lundkvist,1991-06-04
Poland,EL lisasH,Rafa? Wójcik,1996-07-28
China,ELeVeN,Ren Yangwei,1995-12-07
USA,Eosin,Steven Cheng,
Sweden,Era,Adrian Kryeziu,1995-09-03
Sweden,Eresloco,Tobias Everhorn,
Philippines,Eri Neeman,Eri Neeman,1986-12-12
Sweden,Eskillz,Eskil Wilhelm,1992-04-01
Sweden,Etakaka,Alexander Lindström,
Canada,EternaLEnVy,Jacky Mao,1991-07-02
Philippines,Ewe,Earlwin Libre,
Sweden,Excalibur,Steve Ye,1997-08-21
Poland,Exotic Deer,Natan Michalewicz,
Philippines,Eyyou,Nico Barcelon,
South Korea,F(x),Choi Jongseob,
China,Pain,Pan Yi,
China,Faith,Zeng Hongda,1992-02-06
China,Faith bian,Zhang Ruida,1998-03-21
China,FaN,Fan Yixuan,
Germany,Fata,Adrian Trinks,1993-02-24
USA,Fear,Clinton Loomis,1988-02-19
Ukraine,Feaver,Oleg Skarzhinsky,1995-11-23
South Korea,Febby,Kim Yong,1993-02-19
Jordan,Feero,Feras Hroob,
China,Fenrir,Lu Chao,1989-01-18
China,Ferrari 430,Luo Feichi,1990-02-14
Russia,Fervian,Evgeniy Aksyonov,
Poland,Fey,Filip Musialski,1999-06-16
Sweden,Fishbone,Olle Sjöland,
Sweden,Five,Adam Grönberg,
Sweden,Flens,Dennis Brofalk,1994-07-10
Russia,Flow,Alexander Sazonov,
USA,FLUFFNSTUFF,Brian Lee,1992-08-02
Israel,Fly,Tal Aizik,1993-03-09
USA,Fly.,Yao Linhui,
China,Flyby,Su Lei,
USA,FlyingZebra,Michael Stanus,
Philippines,Flysolo,Kenneth Coloma,1991-12-25
Ukraine,Fn,Rostislav Lozovoi,
Belarus,Fng,Artyom Barshack,1995-09-24
USA,Fogged,Ioannis Loucas,1989-12-12
China,Fonte,Lai Xingyu,1996-08-18
South Korea,Forev,Lee Sang,1991-11-18
Philippines,Foxx,Jeffrey Fortunato,
USA,FrancisLee,Francis Lee,
Sweden,Frigoleet,Jesper Göthe,
Canada,Fronz,Wilson Teng,
USA,FROZEN,Ryan Davis,
Ukraine,Funn1k,Gleb Lipatnikov,1992-11-16
France,Funzii,Thibault Calonne,
China,Fusheng,Feng Zhichao,
China,Fy,Xu Linsen,1995-02-12
China,Fyms,Wu Junying,
Malaysia,FzFz,Cheng Hor,
Russia,G,Sergey Alexandrovich,1992-04-16
Serbia,G0g1,Gordan Prosic,1988-10-19
Philippines,Gabbi,Kim Villafuerte,1995-08-01
Brazil,Gambling,Fabio Fernandes,
China,Garder,Liu Xinzhou,1989-04-17
United Kingdom,Gareth,Gareth Bateson,1989-06-06
Albania,Garter,Ylli Ramadani,1991-09-26
China,END,Yang Pu,
Ukraine,Gedrox,Vladislav Kozak,
Ukraine,GeneRaL,Victor Nigrini,1996-08-05
Germany,German player,Matthias Deutschmann,
Russia,GGwpLanaya,Vlad Malikov,
Lebanon,GH,Maroun Merhej,
China,Ghost (player),Zheng Jie,
Ukraine,Ghostik,Andrey Kadyk,1994-08-24
Italy,GiGA,Gabriele Giganti,
China,Gintoki,Li Chunbo,
Philippines,Gio,Jose Ramolete,
Philippines,Gnoji,Ceejay Pelagio,
Sweden,GoAudio,Tobi Strand,
Ukraine,Goblak,Artur Kostenko,1988-12-04
Kazakhstan,Goddam,Dulat Seidimomyn,1995-12-09
Australia,Godot,Darcy Milho,1991-09-28
Australia,GoDz,David Parker,1990-02-27
Russia,Gorec,Ivan Kartankov,
Sweden,Gorgc,Janne Stefanovski,1993-10-28
USA,GranDGranT,Grant Harris,
Peru,Greedy,Alexis Ventura,
USA,Guanzo,Eric Guan,
Venezuela,Gudii,William Aguilera,1991-08-20
Germany,H4nn1,Kai Hanbückers,
Singapore,Hana,Paul Tan,
Sweden,Handsken,Simon Haag,1994-04-24
USA,HANNAH MONTANA,Tony Talavera,1992-01-01
China,Hao,Chen Zhihao,1990-07-28
South Korea,Heen,Lee Seung,1987-02-28
Japan,Heromu,Hiromu Hosoya,
Denmark,HesteJoe-Rotten,Mikki Mørch,1991-03-27
Germany,Hex0r,Dominik Buhmann,1991-03-21
Brazil,HFn,William Medeiros,1997-08-31
Jordan,Hook (player),Mohammad Al,1996-01-15
South Korea,HooNji,Baek Ji,
USA,Hot Bid,Ken Chen,
France,Hugo,Hugo Fouques,1989-12-19
China,Hy,Zheng Shuo,
Denmark,Hyac,Per Schmidt,
Singapore,Hyhy,Benedict Lim,1990-03-06
China,Hym,Xu Zhi,
Peru,Iwo,Iwo Bejar,
Canada,IAnnihilate,Danny Cote,
Malaysia,Ice (player),Chua Chee,
Ukraine,Iceberg,Bogdan Vasylenko,1997-04-13
China,Iceice,Li Peng,1995-08-06
Singapore,Iceiceice,Daryl Koh,1990-06-17
China,Icy,Wang Peng,1991-01-24
Mexico,Ifrit,Jesús Valencia,
Russia,Illidan,Ilya Pivcaev,1991-08-13
Indonesia,IlLogic,Bruce Ervandi,
Romania,ILLusionisT,Razvan Borceanu,1993-03-17
Russia,ILTW,Igor Filatov,1999-10-29
USA,Ima sheep(sux),Donal Cheung,
China,Inflame,He Yongzheng,1992-12-22
China,InJuly,Yang Xiaodong,1993-01-28
Russia,Inkvizitor,Sergey Kaluzhniy,
Russia,Inmate,Dmitrii Filinov,1991-11-12
Sweden,INsania,Aydin Sarkohi,1994-06-18
Russia,Inverno,Maria Gunina,1992-12-29
Indonesia,InYourdreaM,Muhammad Rizky,
USA,Ixmike88,Michael Ghannam,1991-06-07
Belarus,J4,Alexei Lipai,1992-05-12
Germany,Jabbz,Mathis Friesel,
Thailand,Jabz,Anucha Jirawong,1998-09-22
Belarus,Jackal,Maksim Doroshenok,
Philippines,Jacko,Jacko Soriano,
USA,JaH,Matthew Penaroza,
China,James,Zhou Yifu,
USA,Fun,Jason Teodosio,
China,Jdh,Jiang Donghao,
Canada,Jenkins,Andrew Jenkins,1995-10-20
USA,Jeppins,Jared Perkin,
Finland,JerAx,Jesse Vainikka,1992-05-07
Peru,Jericho,Diego Rivera,1994-11-20
Peru,Jerry,Jerry Isidro,
Philippines,JessieVash,Jessie Cristy,1990-02-21
South Korea,JesusSt1ck,Park Yoon,
Canada,Jeyo,Jio Madayag,1993-04-19
Philippines,Jhoven,Jhoven Pancho,
China,JiaJia,Tan Lijia,
Canada,Jigglebilly,Marcus Dastrup,1994-06-09
China,Jixing,Xiao Zihao,1993-11-21
Malaysia,JoHnNy,Lee Siong,
Sweden,Jonassomfan,Jonas Lindholm,1992-09-22
France,Joraal,Sullivan Carlotti,1993-11-07
Russia,JotM,Egor Surkov,1993-02-26
Canada,Jubei,Andrew Evelynn,
Philippines,Julz,Julius De,1992-12-21
China,June,Lin Shiyang,1994-08-28
China,JUST,He Zhipeng,1998-08-07
USA,Justin,Justin Rosselle,
Philippines,JyC,Patrick Pascua,1991-08-19
South Korea,JyU,Kang Taeyeong,
China,Kabu,Zhao Kai,1992-07-16
USA,Kaci Aitchison,Kaci Aitchison,
Poland,Kacor,Jakub Kocjan,
Russia,KaHT,Andrey Shulgin,
Singapore,Kai,Teo Kai,1995-12-02
China,Kaidou,Tan Yunxi,
China,Kaka,Hu Liangzhi,1992-11-07
China,Freeze,Liu Chang,1996-12-27
Malaysia,KaNG,Chua Soon,
USA,KBBQ,Jack Chen,
Germany,Kebap,Rene Warner,
Malaysia,Kecik Imba,Fadil bin,1996-03-30
Sweden,Kefka,Linus Bleckert,
Romania,KeyaNo,Grigorie Andrei,
Greece,Keyser,Grigoris Kallianiotis,1996-06-10
Germany,KheZu,Maurice Gutmann,1995-04-27
Bulgaria,Kikoni,Kiril Minkov,
Philippines,Kim0,Kimuel Borromeo,1991-10-24
China,KingJ,Zhou Yang,
Russia,KingR,Rinat Abdullin,1993-08-22
Brazil,Kingrd,Danylo Nascimento,1992-01-02
Peru,Kingteka,Abraham Canez,1997-02-07
Netherlands,Kipspul,Muriëlle Huisman,1991-05-22
Turkey,Klasynky,Emre Canl?,1991-09-20
Brazil,Klotz22,Paulo Nóbrega,
Indonesia,KoaLa,Farand Kowara,1988-04-21
Serbia,Kole,Konstantin Jan?etovi?,
USA,Korok,Steven Ashworth,1993-09-02
Peru,Kotar? Hayama,Alonso León,1997-01-31
USA,KotLGuy,Dakota Cox,1984-11-16
Australia,Kpii,Damien Sau,
USA,Kpoptosis,Bryan Herren,1991-01-19
Ukraine,KSi,Sergey Kuzin,
Philippines,Kuku,Carlo Palad,1996-09-21
Germany,KuroKy,Kuro Salehi,1992-10-28
USA,KvH,Khanh Huynh,
Philippines,KyrieDepra,Kyrie Eleison,1998-09-21
Thailand,KyT,Nitiphat Chutonganan,
Malaysia,KYxY,Lee Kong,1991-05-26
Russia,L0lik O,Serafim Savelyev,1994-07-21
Croatia,Lacoste,Dominik Stipic,1987-11-22
Thailand,LaKelz,Pipat Prariyachat,1989-10-26
Brazil,Lanaro,João Pedro,
Malaysia,Lance (Player),Fua Hsien,
China,LaNm,Zhang Zhicheng,1989-12-25
Finland,Lapiz,Eetu Seppälä,
USA,LD,David Gorman,1986-06-03
China,Le,Zhang Xuanhao,1993-08-08
Serbia,LeBronDota,Nikola Popovi?,1990-04-23
Peru,LeoStyle-,Leonardo Sifuentes,1995-06-26
Germany,Ler GG,Timo Waszek,1990-02-23
China,Li,Peng Li,
China,Liekkas,Wang Yutian,1992-11-22
Russia,LighTofHeaveN,Dmitry Kupriyanov,1988-01-04
Ukraine,Lil,Ilya Ilyuk,1995-12-24
Brazil,Lil kin6,Marcio Rodrigues,1995-10-04
Sweden,Limmp,Linus Blomdin,1995-05-31
China,Lin,Xu Ziyang,
Malaysia,Ling,Cheong Sim,
Denmark,Link,Sylvester Hoelgaard,1992-04-19
Brazil,Liposa,Rodrigo Lelis,1996-11-24
Bosnia and Herzegovina,LizZard,Admir Salkanovi?,1991-12-11
Sweden,Loda,Jonathan Berg,1988-03-19
China,Longb,Chen Long,1992-09-20
China,LongDD,Huang Xiang,1988-01-30
USA,Loomdun,Chase Stearns,
China,Lpc,Luo Puchao,1990-01-12
China,Lt,Luo Tao,
Singapore,Lubby,Chan Jun,1994-06-02
Germany,Luft,Merlin Seibel,1996-10-29
China,LuLu^^,Yin Jiajun,
USA,Luminous,David Zhang,1988-08-04
China,Lwy,Zhou Xinyi,1994-09-14
USA,Lyrical,Gabriel Cruz,
United Kingdom,Machine,Alex Richardson,1993-08-31
Greece,Madara,Omar Dabachach,
Russia,Maden,Igor Andreevich,
Denmark,Maelk,Jacob Toft,1986-06-18
South Korea,MafiA,Kim Byung,
Jordan,MagE-,Anas Hirzallah,1997-12-14
Germany,MaGoma,Andreas Ramljak,
Ukraine,Mag~,Andrey Chipenko,1990-05-10
Japan,Maiki,,
Czech Republic,Mambos,Pavel Bene?,1996-10-05
Brazil,Mandy,Leonardo Viana,1999-03-15
Lebanon,Mango Banana,Toufic Yaktine,
Denmark,MaNia,Brian Strandby,1984-09-03
Kazakhstan,Mantis,Yernar Urazbayev,1992-08-25
China,Maomao,Yang Shihao,
South Korea,March (Korean player),Park Tae,
France,MarSu,Charlie Lelievre,1989-07-01
Romania,Masakary,Cosmin Nechifor,1992-05-28
Peru,Masoku,Álex Dávila,
USA,Mason,Mason Venne,1991-11-02
Mongolia,Masquerade,Enkhbayar Batsukh,1991-10-26
Russia,Massacre,Leonard Urich,1992-02-17
Bulgaria,Mastermind,Ivaylo Petkov,
Sweden,Matrim,Sebastian Sundström,
Peru,Matthew,Farith Puente,
Finland,MATUMBAMAN,Lasse Aukusti,1995-03-03
USA,Maut,Travis Bueno,1990-12-25
Greece,Maybe Next Time,Verros Apostolos,
Turkey,MdL (Alperen Arslan),Alperen Arslan,1995-08-13
China,MelodyLovers,Zhang Hangqi,1989-12-28
USA,Melonzz,Kyle Freedman,
Singapore,Meracle,Galvin Kang,1996-03-08
USA,Merlini,Ben Wu,1987-10-23
Russia,MeTTpuM,Daniil Gilev,
China,Mevius,Guo Yuhang,
Sweden,MiCKe,Michael Vu,1999-07-26
Malaysia,MidOne,Yeik Nai,1996-06-03
Denmark,MiGGel,Mikkel Berg,1987-12-16
Peru,MiHawk,Leonardo Astete,
China,Mikasa,Tong Junjie,1986-10-21
Sweden,Mikey,Max Barkö,
Bosnia and Herzegovina,MiLAN,Milan Kozomara,1995-06-23
Bulgaria,MinD ContRoL,Ivan Borislavov,1995-01-20
Indonesia,Minerva,Rene Michael,
Sweden,Mini,Hampus Olsson,1993-09-08
Russia,Miposhka,Yaroslav Naidenov,1997-11-30
Jordan,Miracle-,Amer Al,1997-06-20
Sweden,Mirakel,Jesper Nyhlén,1990-02-18
Denmark,MiSeRy,Rasmus Berth,1991-07-14
Russia,Misha,Mikhail Agatov,1997-07-24
Croatia,Mitch,Damir ?kari?i?,1992-04-27
USA,MJW,Michael Nguyen,
China,MMY,Lei Zengrong,1989-09-10
China,Mofi,Rong Yao,
China,Monet,Du Peng,1999-09-25
USA,Monkeys-forever,Jaron Clinton,
USA,Monolith,Charlie Yang,
USA,Moo,David William,1995-11-09
China,Moogy,Xu Han,1994-04-19
China,Mool,Zeng Yulei,1994-08-26
Malaysia,NaNa,Kam Boon,1995-02-12
Belarus,Moonlight,Vladislav Mihteev,
Canada,MoonMeander,David Tan,1992-01-28
Malaysia,MoZuN,Goh Choo,
South Korea,MP,Pyo No,1994-04-16
China,Mrrr,Meng Rui,
USA,MSS,Arif Anwar,
Peru,Mstco,Ricardo Román,
Malaysia,MtR,Kelvin Chong,
Ukraine,Mtrx4u,Vladyslav Suzdal,1988-10-22
China,Mu,Zhang Pan,1989-12-24
Malaysia,Mushi,Chai Yee,1990-11-27
Sweden,Mynuts,Johan Andersson,
Thailand,MyPro,Kittikorn Inngoen,1992-06-25
Denmark,N0tail,Johan Sundstein,1993-10-08
Indonesia,Nafari,Azam Aljabar,1993-09-18
USA,Nahaz,Alan Bester,
Philippines,Nando,Fernando Mendoza,1996-10-31
China,NeaR,Lu Guangkun,
Brazil,Nedbone,Danilo Silva,
Finland,Nemphy,Sampsa Kutvonen,1996-12-26
Turkey,Neqroman,Selim Oynar,1994-12-30
Malaysia,Net (player),Wai Pern,1991-10-13
USA,Newsham,Jason Newsham,
Russia,Nexus,Igor Lisakovsky,1992-08-04
Bulgaria,Nikobaby,Nikolay Nikolov,
Germany,Nine,Leon Kirilin,
Philippines,Ninjaboogie,Michael Ross,1992-01-31
Finland,Niqua,Niclas Westergård,
Poland,Nisha,Micha? Jankowski,2000-09-28
Russia,Nix,Alexander Levin,
Malaysia,Nj,Law Chee,
India,NO Chanc3,Moin Ejaz,1992-10-02
China,Noble,Lan Gaochong,
Russia,Nocik,Sergey Kleshukov,
Russia,NoFear,Alexander Churochkin,1993-07-03
Denmark,Noia,Danny Mørch,1989-07-17
Thailand,Nokky,Attawat Teephom,
China,Nono,Wang Xin,
Ukraine,Noone,Vladimir Minenko,1997-09-04
South Africa,Noxville,Ben Steenhuisen,1988-09-30
Russia,NS,Yaroslav Kuznetsov,1988-09-24
Singapore,NutZ,Wong Jeng,1989-08-31
United Kingdom,ODPixel,Owen Davies,1993-03-29
Czech Republic,Offak,Daniel Gorol,
Malaysia,Ohaiyo,Khoo Chong,1993-03-31
Finland,Okcya,Niklas Koskinen,
China,Old chicken,Wang Zhiyong,1993-05-26
Slovakia,Oliver,Oliver Lepko,
Canada,OmegaPwner,Zhongliang Deng,
China,Op,Ou Peng,
China,Ori,Zeng Jiaoyang,
China,Origami,Luo Fuyu,
Philippines,Owa,Joshua Dela,1993-05-05
Denmark,OwnedMe,Mathias Huynh,
Brazil,PAADA,Arthur Zarzur,1988-09-01
Sweden,Pablo,Axel Källman,1995-08-31
Sweden,Pajkatt,Per Anders,1992-09-19
USA,Pandaego,Jared Fletcher,
China,Paparazi?,Zhang Chengjun,1996-06-27
Argentina,Papita,Mariano Caneda,1995-01-19
France,PARIS,Titouan Merloz,1992-08-19
Germany,PaS,Pascal Lohmeier,1992-10-25
Poland,Patos,Pawe? Naruszewicz,
Canada,PatSoul,Zheng Yukai,
Russia,PGG,Vladimir Anosov,1990-11-13
China,Piao,Peng Renjie,1995-08-23
Sweden,Pieliedie,Johan Åström,
Ukraine,Pikachu,Yaroslav Vasylenko,1997-04-13
Germany,PimpmuckL,Jonathan Liebig,
Slovenia,Pingvincek,Jure Ple?ej,
Sweden,Pinoy,Alexander Pettersson,
South Korea,PLZDunKilme,Kim Sangho,
Singapore,Poloson,Wilson Koh,1996-04-28
USA,Ppd,Peter Dager,1991-11-02
China,PrettyHaw,Zhao Jiabin,1992-09-16
Philippines,Primo,Peter Bondal,
Czech Republic,Profheadshot,Martin Hála,
Russia,PSM,Andrei Dunaev,1986-08-19
China,Puer tea,Xiang Xin,
Estonia,Puppey,Clement Ivanov,1990-03-06
USA,Purge (Kevin Godec),Kevin Godec,1987-08-17
Serbia,PwN,Stefan Pavlovic,1994-04-30
United Kingdom,PyrionFlax,Ted Forsyth,1976-03-29
South Korea,PYung,Gwon Pyeong,
China,Q,Fu Bin,1993-04-18
China,Qd,Zhao Shungeng,
China,Qianqian,Li Wenyao,
South Korea,QO,Kim Seon,1993-09-22
Germany,Qojqva,Maximilian Bröcker,
China,QQQ,Yao Yi,1985-09-19
Ukraine,QwisTa,Mikhail Ilyashenko,
Australia,R1sk,David Arnous,
Thailand,R5r5,Nattapong Petkong,
China,Rabbit,Wang Zhang,
China,RampaGe,Chen Mingyang,1994-06-02
Russia,RAMZES666,Roman Kushnarev,1999-04-25
China,Ran,Fang Xu,
Philippines,Rapy,Rafael Sicat,1996-11-08
Philippines,Raven,Marc Polo,1998-09-22
Greece,ReaLaxXx,Nikos Kiazolis,1991-07-30
USA,Reaves,,
China,Red,Sun Youjia,
United Kingdom,Redeye,Paul Chaloner,1971-11-11
Sweden,Reelo,Oscar Ljungberg,
Sweden,Reesion,David Siekas,
South Korea,Reisen,Lee Jun,1993-03-04
China,Rem,Shen Chao,1995-05-15
Ukraine,Resolut1on,Roman Fominok,1996-09-02
Mongolia,Retribution,Temuulen Amarsaikhan,1996-10-30
United Kingdom,Rime,Robert Pratt,
USA,Riser,Andrew Bronze,
USA,Ritsu,Ravindu Kodippili,
Germany,RMC,Philipp Pausewang,
Germany,RmN-,Roman Paley,1993-12-17
Malaysia,Roddgeee,Roger Tan,1994-01-09
Russia,RodjER,Vladimir Nikogosyan,1993-12-14
China,Rong,Chen Jingwu,
China,ROtK,Bai Fan,1992-03-13
Philippines,RR,Ralph Richard,1994-11-08
Kyrgyzstan,Runec,Bektur Kulov,1997-10-22
USA,Ryoya,Eric Dong,
Philippines,RyOyr,Ryo Hasegawa,1992-10-03
USA,RyuUboruZ,Alan Andersen,
Japan,Ryuya,Ryuya Ikeda,
Denmark,Ryze,Christoffer Borregaard,1989-02-20
Sweden,S4,Gustav Magnusson,1992-04-01
China,Sag,Li Guo,1987-12-07
China,Luobo,Luo Yebo,1994-07-01
China,Fran,Xu Zichen,1995-07-21
Macedonia,Saksa,Martin Sazdov,1995-06-12
Philippines,Sam H,Samson Solomon,1994-12-12
Mongolia,SANKE,Od Nergui,1992-10-27
China,SanSheng,Wang Zhaohui,1989-06-13
Russia,Santa,Alexander Koltan,1989-06-10
China,Sayaka,Mao Mingyuan,
Germany,Scabo,Dennis Niemczycki,
Russia,Scandal,Roman Sadotenkov,1991-12-04
South Africa,Scant,Anthony Hodgson,
China,Sccc,Song Chun,1995-08-18
Indonesia,SCL,Ruby Gunawan,
Peru,Scofield,Elvis De,1998-04-29
Singapore,SCripted,Jonathan Lee,
Thailand,SD,Noppadon Paopongprapun,
