,cog,player,name,dob,role,team,join,leave
19,Denmark,13abyKnight,Jon Andersen,1992-06-15,Solo Middle,Danish Bears,2016-12-09,2017-01-05
20,Denmark,13abyKnight,Jon Andersen,1992-06-15,Solo Middle,Cloud9,2017-01-05,2017-05-13
21,Denmark,13abyKnight,Jon Andersen,1992-06-15,Solo Middle,Crescendo,2017-05-23,2017-07-??
22,Canada,1437,Sivatheeban Sivanathapillai,N/A,Support,Online Kingdom,2011-08-11,2011-11-23
23,Canada,1437,Sivatheeban Sivanathapillai,N/A,Support,mousesports,2012-05-17,2012-09-16
24,Canada,1437,Sivatheeban Sivanathapillai,N/A,Support,Quantic Gaming,2012-09-16,2012-10-15
25,Canada,1437,Sivatheeban Sivanathapillai,N/A,Support,LGD.int,2012-10-16,2013-09-14
26,Canada,1437,Sivatheeban Sivanathapillai,N/A,Support,Team Dignitas,2013-10-13,2013-11-11
27,Canada,1437,Sivatheeban Sivanathapillai,N/A,Support,North American Rejects,2014-04-11,2014-06-03
28,Canada,1437,Sivatheeban Sivanathapillai,N/A,Support,Na'Vi North America,2014-06-03,2014-12-05
29,Canada,1437,Sivatheeban Sivanathapillai,N/A,Support,Team Secret,2015-??-??,2015-??-??
30,Canada,1437,Sivatheeban Sivanathapillai,N/A,Support,Dark Horse,2015-08-??,2015-09-01
31,Canada,1437,Sivatheeban Sivanathapillai,N/A,Support,Cloud9,2015-09-01,2015-11-27
32,Canada,1437,Sivatheeban Sivanathapillai,N/A,Support,Digital Chaos,2015-11-27,2016-03-24
33,Canada,1437,Sivatheeban Sivanathapillai,N/A,Support,Team Secret,2016-03-24,2016-08-19
34,Canada,1437,Sivatheeban Sivanathapillai,N/A,Support,Team NP,2016-09-08,2017-04-06
35,Canada,1437,Sivatheeban Sivanathapillai,N/A,Support,TNC Pro Team,2017-05-16,
36,China,290,Zeng Chen,N/A,Solo Middle,Orenda,2014-03-??,2014-06-??
37,China,290,Zeng Chen,N/A,Solo Middle,Team DK,2015-04-21,2015-09-??
38,China,290,Zeng Chen,N/A,Solo Middle,Thunderobot Gaming,2015-11-21,2015-05-28
39,China,290,Zeng Chen,N/A,Solo Middle,White Fries Gaming,2016-05-28,2016-09-16
40,China,290,Zeng Chen,N/A,Solo Middle,Newbee Young,2016-09-17,2017-01-08
41,China,290,Zeng Chen,N/A,Solo Middle,RUSH B,2017-01-08,2017-06-03
42,China,290,Zeng Chen,N/A,Solo Middle,PiPiXia,2017-12-06,
43,Israel,33,Neta Shapira,1997-04-17,Support,No Logic Gaming,2015-12-19,2016-02-01
44,Israel,33,Neta Shapira,1997-04-17,Support,Kaipi,2016-06-13,2016-10-28
45,Israel,33,Neta Shapira,1997-04-17,Support,Prodota Gaming,2016-11-11,2017-01-08
46,Israel,33,Neta Shapira,1997-04-17,Support,Kaipi,2017-01-08,2017-04-05
47,Israel,33,Neta Shapira,1997-04-17,Support,Prodota Gaming,2017-04-05,2017-06-14
48,Israel,33,Neta Shapira,1997-04-17,Support,Planet Dog,2017-06-14,2017-07-20
49,Israel,33,Neta Shapira,1997-04-17,Support,HellRaisers,2017-07-20,2017-12-12
50,Israel,33,Neta Shapira,1997-04-17,Support,Planet Dog,2017-12-12,2017-12-21
51,Israel,33,Neta Shapira,1997-04-17,Support,OpTic Gaming,2017-12-21,
52,Malaysia,343,Adam Erwann,N/A,Coach,Duskbin e-Sports,2013-12-09,2014-03-19
53,Malaysia,343,Adam Erwann,N/A,Coach,Nara Stacks,2014-04-07,2014-10-14
54,Malaysia,343,Adam Erwann,N/A,Coach,GeNySis,2014-12-09,2015-01-02
55,Malaysia,343,Adam Erwann,N/A,Coach,Can't Say Wips,2015-02-02,2015-05-31
56,Malaysia,343,Adam Erwann,N/A,Coach,Team 123,2015-06-23,2015-12-13
57,Malaysia,343,Adam Erwann,N/A,Coach,Taring,2015-12-13,2016-03-19
58,Malaysia,343,Adam Erwann,N/A,Coach,Fnatic,2016-03-19,2016-08-24
59,Malaysia,343,Adam Erwann,N/A,Coach,Execration,2016-11-03,2016-12-30
60,Malaysia,343,Adam Erwann,N/A,Coach,B)ears,2016-12-30,2017-04-18
61,Malaysia,343,Adam Erwann,N/A,Coach,compLexity Gaming,2017-06-10,2017-08-14
62,Malaysia,343,Adam Erwann,N/A,Coach,Fire Dragoon E-sports,2017-08-26,2017-11-08
63,Malaysia,343,Adam Erwann,N/A,Coach,Fnatic,2017-11-08,
64,Brazil,4DR,Adriano de,1993-07-13,Carry,Swagenteiger,2014-01-03,2014-03-11
65,Brazil,4DR,Adriano de,1993-07-13,Carry,CNB e-Sports Club,2014-03-11,2014-09-09
66,Brazil,4DR,Adriano de,1993-07-13,Carry,paiN Gaming,2014-09-09,2016-10-19
67,Brazil,4DR,Adriano de,1993-07-13,Carry,Kingao+4,2016-10-19,2016-11-13
68,Brazil,4DR,Adriano de,1993-07-13,Carry,SG e-sports,2016-11-13,2017-08-29
69,Brazil,4DR,Adriano de,1993-07-13,Carry,SG e-sports,2017-09-10,
70,China,5400,Yang Huaining,N/A,Caster,For.Love,2013-10-10,2014-02-12
71,China,5400,Yang Huaining,N/A,Caster,CNB.cn,2014-02-12,2014-09-02
72,China,5400,Yang Huaining,N/A,Caster,LAI Gaming,2014-09-02,2015-04-02
73,China,5400,Yang Huaining,N/A,Caster,Newbee.miracle,2015-04-02,2015-05-20
74,China,5400,Yang Huaining,N/A,Caster,Energy Pacemaker,2015-05-??,2015-??-??
75,Russia,BzzIsPerfect,Stanislav Glushan,1992-11-09,Solo Middle,RoX,2013-01-21,2014-05-31
76,Russia,BzzIsPerfect,Stanislav Glushan,1992-11-09,Solo Middle,Virtus.pro,2014-08-25,2015-03-11
77,Russia,BzzIsPerfect,Stanislav Glushan,1992-11-09,Solo Middle,4 Clover & Lepricon,2015-03-??,2015-03-17
78,Russia,BzzIsPerfect,Stanislav Glushan,1992-11-09,Solo Middle,Dota AllStars,2015-05-24,2015-05-26
79,Russia,BzzIsPerfect,Stanislav Glushan,1992-11-09,Solo Middle,Duza Gaming,2015-05-26,2015-06-08
80,Russia,BzzIsPerfect,Stanislav Glushan,1992-11-09,Solo Middle,Teamless,2015-08-20,2015-09-01
81,Russia,BzzIsPerfect,Stanislav Glushan,1992-11-09,Solo Middle,Fantastic Five,2015-09-04,2016-01-06
82,Russia,BzzIsPerfect,Stanislav Glushan,1992-11-09,Solo Middle,RoX,2016-01-06,2016-03-26
83,Russia,BzzIsPerfect,Stanislav Glushan,1992-11-09,Solo Middle,Fantastic Five,2016-03-27,2016-12-15
84,Russia,BzzIsPerfect,Stanislav Glushan,1992-11-09,Solo Middle,Team Spirit,2016-12-15,2017-07-20
85,Russia,BzzIsPerfect,Stanislav Glushan,1992-11-09,Solo Middle,Team Spirit,2017-07-20,2017-08-31
86,Russia,BzzIsPerfect,Stanislav Glushan,1992-11-09,Solo Middle,Spartak Esports,2017-09-12,2017-11-29
87,France,7ckngMad,Sébastien Debs,1992-05-11,Coach,Team Shakira,2011-??-??,2012-01-12
88,France,7ckngMad,Sébastien Debs,1992-05-11,Coach,Western Wolves,2012-01-13,2012-04-15
89,France,7ckngMad,Sébastien Debs,1992-05-11,Coach,mTw,2012-04-15,2012-09-18
90,France,7ckngMad,Sébastien Debs,1992-05-11,Coach,Team Shakira,2012-??-??,2012-??-??
91,France,7ckngMad,Sébastien Debs,1992-05-11,Coach,DD.Dota,2012-11-17,2013-06-04
92,France,7ckngMad,Sébastien Debs,1992-05-11,Coach,Quantic,2013-06-04,2013-09-10
93,France,7ckngMad,Sébastien Debs,1992-05-11,Coach,DD.Dota,2013-09-10,2013-10-22
94,France,7ckngMad,Sébastien Debs,1992-05-11,Coach,Sigma.int,2013-10-22,2014-04-11
95,France,7ckngMad,Sébastien Debs,1992-05-11,Coach,Terra Firma eSports,2014-08-12,2014-08-16
96,France,7ckngMad,Sébastien Debs,1992-05-11,Coach,Denial eSports,2014-08-16,2015-01-05
97,France,7ckngMad,Sébastien Debs,1992-05-11,Coach,Basically Unknown,2015-01-05,2015-02-06
98,France,7ckngMad,Sébastien Debs,1992-05-11,Coach,FIRE,2015-02-06,2015-02-20
99,France,7ckngMad,Sébastien Debs,1992-05-11,Coach,Champions of Summer's Rift,2015-02-20,2015-03-06
100,France,7ckngMad,Sébastien Debs,1992-05-11,Coach,Alliance,2015-03-06,2015-08-27
101,France,7ckngMad,Sébastien Debs,1992-05-11,Coach,Monkey Freedom Fighters,2015-08-22,2015-10-08
102,France,7ckngMad,Sébastien Debs,1992-05-11,Coach,Kaipi,2015-12-07,2016-04-28
103,France,7ckngMad,Sébastien Debs,1992-05-11,Coach,OG,2016-05-??,
104,China,820,Zou Yitian,1990-04-13,Support,EHOME,2011-??-??,2012-??-??
105,China,86,Chen Yuxuan,N/A,Coach,Brave Heart,2015-12-01,2016-05-28
106,China,86,Chen Yuxuan,N/A,Coach,EHOME.Keen,2015-06-??,2015-09-17
107,China,86,Chen Yuxuan,N/A,Coach,FTD club C,2016-09-17,2016-12-25
108,China,86,Chen Yuxuan,N/A,Coach,We Are Young,2017-05-14,2017-09-??
109,China,86,Chen Yuxuan,N/A,Coach,Keen Gaming.Luminous,2017-09-10,
110,China,MKSos,Liu Yufeng,N/A,Support,Newbee Young,2014-10-24,2015-06-25
111,China,MKSos,Liu Yufeng,N/A,Support,FTD club C,2015-12-06,2016-01-10
112,China,MKSos,Liu Yufeng,N/A,Support,Void Boys,2016-04-21,2016-05-08
113,China,MKSos,Liu Yufeng,N/A,Support,CDEC Avenger,2016-06-30,2016-07-31
114,China,MKSos,Liu Yufeng,N/A,Support,Rampage Gaming,2016-10-16,2017-01-07
115,China,MKSos,Liu Yufeng,N/A,Support,Brave Heart,2017-01-07,
116,China,897,Tang Zhirui,N/A,Solo Middle,FTD club C,2016-10-??,2015-11-??
117,China,897,Tang Zhirui,N/A,Solo Middle,FTD club A,2016-06-19,2017-09-04
118,China,897,Tang Zhirui,N/A,Solo Middle,For The Dream,2017-09-04,
119,Russia,9pasha,Pavel Khvastunov,1992-06-30,Offlaner,UrsaStroitHram,2013-01-??,2014-11-??
120,Russia,9pasha,Pavel Khvastunov,1992-06-30,Offlaner,BUHLO-UroPb,2014-11-??,2014-11-24
121,Russia,9pasha,Pavel Khvastunov,1992-06-30,Offlaner,Vega Squadron,2014-11-24,2016-03-22
122,Russia,9pasha,Pavel Khvastunov,1992-06-30,Offlaner,Polarity,2016-03-25,2016-06-05
123,Russia,9pasha,Pavel Khvastunov,1992-06-30,Offlaner,Fantastic Five,2016-07-29,2016-08-04
124,Russia,9pasha,Pavel Khvastunov,1992-06-30,Offlaner,Virtus.pro,2016-08-04,
125,China,Dogf1ghts,Gao Tianpeng,1995-12-05,Support,Vici Gaming Potential,2015-03-15,2016-03-19
126,China,Dogf1ghts,Gao Tianpeng,1995-12-05,Support,iG Vitality,2016-03-19,
127,Thailand,AabBAA,Chanon Chiwpreecha,1990-09-07,Offlaner,MiTH.Trust,2011-??-??,2014-05-29
128,Thailand,AabBAA,Chanon Chiwpreecha,1990-09-07,Offlaner,Signature.Trust,2015-01-20,2017-01-08
129,Philippines,Ab1ng,Avelino Parungao,N/A,Offlaner,Arcanys,2016-03-09,2016-08-15
130,Philippines,Ab1ng,Avelino Parungao,N/A,Offlaner,Rave,2016-09-08,2016-12-29
131,Philippines,Ab1ng,Avelino Parungao,N/A,Offlaner,Clutch Gamers,2016-12-29,2017-03-23
132,Philippines,Ab1ng,Avelino Parungao,N/A,Offlaner,Entity Gaming,2017-04-22,
133,Philippines,Abed,Abed Azel,2000-08-02,Solo Middle,Trackmate.Tric,2015-03-01,2015-06-30
134,Philippines,Abed,Abed Azel,2000-08-02,Solo Middle,Execration,2016-02-10,2016-12-30
135,Philippines,Abed,Abed Azel,2000-08-02,Solo Middle,Team Onyx,2017-01-01,2017-04-14
136,Philippines,Abed,Abed Azel,2000-08-02,Solo Middle,Digital Chaos,2017-04-14,2017-10-27
137,Philippines,Abed,Abed Azel,2000-08-02,Solo Middle,Fnatic,2017-11-08,
138,Peru,Accel,Christian Cruz,1995-10-20,Support,Team Unknown,2015-??-??,2015-12-08
139,Peru,Accel,Christian Cruz,1995-10-20,Support,As1-,2015-12-08,2015-12-??
140,Peru,Accel,Christian Cruz,1995-10-20,Support,Infamous,2015-12-??,
141,Denmark,Ace,Marcus Hoelgaard,1994-01-19,Carry,Gamer University,2012-06-12,2012-11-13
142,Denmark,Ace,Marcus Hoelgaard,1994-01-19,Carry,3DMAX,2012-11-13,2013-04-03
143,Denmark,Ace,Marcus Hoelgaard,1994-01-19,Carry,Team Life,2013-08-21,2013-10-16
144,Denmark,Ace,Marcus Hoelgaard,1994-01-19,Carry,Mousesports,2013-10-16,2014-01-23
145,Denmark,Ace,Marcus Hoelgaard,1994-01-19,Carry,Team Life,2014-01-24,2014-02-09
146,Denmark,Ace,Marcus Hoelgaard,1994-01-19,Carry,Meet Your Makers,2014-02-09,2014-09-30
147,Denmark,Ace,Marcus Hoelgaard,1994-01-19,Carry,Lianghao,2015-01-18,2015-03-09
148,Denmark,Ace,Marcus Hoelgaard,1994-01-19,Carry,Flipsid3 Tactics,2015-03-09,2015-04-29
149,Denmark,Ace,Marcus Hoelgaard,1994-01-19,Carry,Danish Bears,2015-08-31,2016-06-24
150,Denmark,Ace,Marcus Hoelgaard,1994-01-19,Carry,The Imperial,2016-06-24,2016-12-09
151,Denmark,Ace,Marcus Hoelgaard,1994-01-19,Carry,Danish Bears,2016-12-09,2017-01-05
152,Denmark,Ace,Marcus Hoelgaard,1994-01-19,Carry,Cloud9,2017-01-05,2017-05-13
153,Denmark,Ace,Marcus Hoelgaard,1994-01-19,Carry,Danish Bears,2017-05-19,2017-09-05
154,Denmark,Ace,Marcus Hoelgaard,1994-01-19,Carry,Team Secret,2017-09-05,
155,Sweden,AdmiralBulldog,Henrik Ahnberg,1990-12-19,Offlaner,No Tidehunter,2012-09-21,2013-04-12
156,Sweden,AdmiralBulldog,Henrik Ahnberg,1990-12-19,Offlaner,Team Tinker,2015-01-20,2015-02-13
157,Sweden,AdmiralBulldog,Henrik Ahnberg,1990-12-19,Offlaner,Alliance,2013-04-12,2016-08-28
158,Russia,Admiration,Igor Kalnysh,N/A,Solo Middle,Virtus.Pro,20??-??-??,20??-??-??
159,Russia,Admiration,Igor Kalnysh,N/A,Solo Middle,Moscow Five,2012-05-12,2012-09-06
160,China,Adong,Chen Yingdong,N/A,Support,Dream Gaming,2014-06-18,2015-01-??
161,China,Adong,Chen Yingdong,N/A,Support,E-Sports Dream,2015-10-01,2015-12-??
162,China,Adong,Chen Yingdong,N/A,Support,DUOBAO,2016-03-20,2017-02-10
163,China,Adong,Chen Yingdong,N/A,Support,VDuoBao,2017-02-10,2017-06-26
164,Malaysia,ADTR,Ahmad Syazwan,N/A,Coach,Invasion e-Sports,2014-03-02,2015-05-??
165,Malaysia,ADTR,Ahmad Syazwan,N/A,Coach,Fnatic,2015-08-28,2016-??-??
166,Malaysia,ADTR,Ahmad Syazwan,N/A,Coach,Rex Regum QEON,2016-11-14,2017-01-03
167,Malaysia,ADTR,Ahmad Syazwan,N/A,Coach,Fnatic,2017-??-??,2017-11-08
168,Russia,Afoninje,Andrey Afonin,1996-09-27,Solo Middle,Special Reaction Team,2014-08-01,2014-08-09
169,Russia,Afoninje,Andrey Afonin,1996-09-27,Solo Middle,NVMI,2014-08-09,2014-09-02
170,Russia,Afoninje,Andrey Afonin,1996-09-27,Solo Middle,Kompas.Gaming,2014-09-09,2014-10-30
171,Russia,Afoninje,Andrey Afonin,1996-09-27,Solo Middle,HellRaisers,2014-10-30,2016-03-22
172,Russia,Afoninje,Andrey Afonin,1996-09-27,Solo Middle,Polarity,2016-03-25,2016-06-05
173,Russia,Afoninje,Andrey Afonin,1996-09-27,Solo Middle,Power Rangers,2016-09-08,2016-11-14
174,Russia,Afoninje,Andrey Afonin,1996-09-27,Solo Middle,Rebels,2017-01-05,2017-01-29
175,Russia,Afoninje,Andrey Afonin,1996-09-27,Solo Middle,Effect,2017-01-29,
176,Jordan,AfrOmoush,Mohammad Khalil,1996-12-06,Support,Aboshamalah,2016-07-26,2017-01-15
177,Jordan,AfrOmoush,Mohammad Khalil,1996-12-06,Support,Spotnet,2017-03-08,2017-05-16
178,Jordan,AfrOmoush,Mohammad Khalil,1996-12-06,Support,Orcus,2017-07-25,2017-09-27
179,Jordan,AfrOmoush,Mohammad Khalil,1996-12-06,Support,WarriorsGaming.Unity,2017-09-28,
180,Russia,AfterLife,Vasily Shishkin,1997-03-13,Offlaner,Can't Describe,2013-09-10,2013-12-15
181,Russia,AfterLife,Vasily Shishkin,1997-03-13,Offlaner,DreamTeam168,2014-04-16,2014-07-12
182,Russia,AfterLife,Vasily Shishkin,1997-03-13,Offlaner,Album Sheets,2014-10-21,2015-01-09
183,Russia,AfterLife,Vasily Shishkin,1997-03-13,Offlaner,aSpera,2015-07-14,2015-10-31
184,Russia,AfterLife,Vasily Shishkin,1997-03-13,Offlaner,CIS Rejects,2015-09-03,2015-12-06
185,Russia,AfterLife,Vasily Shishkin,1997-03-13,Offlaner,Team Spirit,2015-12-06,2016-03-05
186,Russia,AfterLife,Vasily Shishkin,1997-03-13,Offlaner,Team Empire,2016-03-25,2016-09-02
187,Russia,AfterLife,Vasily Shishkin,1997-03-13,Offlaner,F.R.I.E.N.D.S.,2016-09-15,2017-04-09
188,Russia,AfterLife,Vasily Shishkin,1997-03-13,Offlaner,Vega Squadron,2017-04-09,2017-12-04 
189,Russia,AfterLife,Vasily Shishkin,1997-03-13,Offlaner,Vega Squadron,2017-12-04,
190,Russia,AfterLife,Vasily Shishkin,1997-03-13,Offlaner,Effect,2017-12-19,
191,China,Agressif,Sun Zheng,1991-11-11,Carry,New Element,2013-08-20,2013-11-25
192,China,Agressif,Sun Zheng,1991-11-11,Carry,LGD.CDEC,2014-04-25,2014-10-14
193,China,Agressif,Sun Zheng,1991-11-11,Carry,CDEC Gaming,2014-10-14,2016-03-18
194,China,Agressif,Sun Zheng,1991-11-11,Carry,LGD Gaming,2016-03-18,2016-08-20
195,China,Agressif,Sun Zheng,1991-11-11,Carry,Team VGJ,2016-09-17,2017-09-04
196,China,Agressif,Sun Zheng,1991-11-11,Carry,For The Dream,2017-09-04,
197,Malaysia,Ahfu,Tue Soon,1994-06-06,Support,Nara Stacks,2014-04-07,2014-07-24
198,Malaysia,Ahfu,Tue Soon,1994-06-06,Support,Mineski,2014-11-26,2015-01-04
199,Malaysia,Ahfu,Tue Soon,1994-06-06,Support,SabunWarrior,2015-09-03,2015-11-28
200,Malaysia,Ahfu,Tue Soon,1994-06-06,Support,WarriorsGaming.Unity,2016-03-09,2017-03-05
201,Malaysia,Ahfu,Tue Soon,1994-06-06,Support,Team Bazaar,2017-03-05,2017-03-27
202,Malaysia,Ahfu,Tue Soon,1994-06-06,Support,WarriorsGaming.Unity,2017-03-27,2017-05-02
203,Malaysia,Ahfu,Tue Soon,1994-06-06,Support,LGD.Forever Young,2017-05-06,
204,Malaysia,Ahjit,Lai Jay,N/A,Carry,K2.Apes,2015-04-14,2016-01-30
205,Malaysia,Ahjit,Lai Jay,N/A,Carry,Wu Jie,2016-01-30,2016-04-01
206,Malaysia,Ahjit,Lai Jay,N/A,Carry,WarriorsGaming.Unity,2016-04-03,2017-03-05
207,Malaysia,Ahjit,Lai Jay,N/A,Carry,Team Bazaar,2017-03-05,2017-03-27
208,Malaysia,Ahjit,Lai Jay,N/A,Carry,WarriorsGaming.Unity,2017-03-27,2017-05-02
209,Malaysia,Ahjit,Lai Jay,N/A,Carry,Fnatic,2017-05-17,2017-08-25
210,Malaysia,Ahjit,Lai Jay,N/A,Carry,Fire Dragoon E-sports,2017-08-26,
211,China,Air,Yin Yuxiao,N/A,Solo Middle,RisingStars,2013-01-17,2013-08-23
212,China,Air,Yin Yuxiao,N/A,Solo Middle,DT^Club,2013-09-25,2014-06-28
213,China,Air,Yin Yuxiao,N/A,Solo Middle,HyperGloryTeam,2014-10-16,2015-09-18
214,China,Air,Yin Yuxiao,N/A,Solo Middle,Avalon Club,2016-06-??,2016-07-??
215,Sweden,Akke,Joakim Akterhall,1988-05-26,Support,Team Team,2006,
216,Sweden,Akke,Joakim Akterhall,1988-05-26,Support,Jukes on You,2006,
217,Sweden,Akke,Joakim Akterhall,1988-05-26,Support,Meet Your Makers,2006,
218,Sweden,Akke,Joakim Akterhall,1988-05-26,Support,Team Team,2006 — 200,
219,Sweden,Akke,Joakim Akterhall,1988-05-26,Support,SK Gaming,2007 — 200,
220,Sweden,Akke,Joakim Akterhall,1988-05-26,Support,eXperience Gaming,2011-12-11,2012-02-06
221,Sweden,Akke,Joakim Akterhall,1988-05-26,Support,Counter Logic Gaming,2012-02-02,2012-10-29
222,Sweden,Akke,Joakim Akterhall,1988-05-26,Support,No Tidehunter,2012-10-29,2013-04-12
223,Sweden,Akke,Joakim Akterhall,1988-05-26,Support,Alliance,2013-04-12,2016-08-28
224,Sweden,Akke,Joakim Akterhall,1988-05-26,Support,Horde,2016-09-06,2017-03-20
225,Sweden,Akke,Joakim Akterhall,1988-05-26,Support,Crescendo,2017-05-23,2017-07-??
226,Germany,Alex,Alexander Reinhardt,1991-09-07,Coach,mousesports,2012-09-16,2012-10-16
227,Germany,Alex,Alexander Reinhardt,1991-09-07,Coach,The GD B-Team,2012-10-17,2012-10-21
228,Germany,Alex,Alexander Reinhardt,1991-09-07,Coach,Zero,2012-10-24,2012-11-21
229,Germany,Alex,Alexander Reinhardt,1991-09-07,Coach,mousesports,2012-11-21,2013-04-30
230,Germany,Alex,Alexander Reinhardt,1991-09-07,Coach,uebelst gamynG,2013-0?-??,2013-09-30
231,Germany,Alex,Alexander Reinhardt,1991-09-07,Coach,Team Liquid,2015-10-09,201?-??-??
232,Ukraine,ALOHADANCE,Ilya Korobkin,1997-09-15,Carry,Flip.Sid3.ru,2013-10-22,2014-02-01
233,Ukraine,ALOHADANCE,Ilya Korobkin,1997-09-15,Carry,HellRaisers,2014-08-29,2014-09-15
234,Ukraine,ALOHADANCE,Ilya Korobkin,1997-09-15,Carry,Album Sheets,2014-09-15,2014-??-??
235,Ukraine,ALOHADANCE,Ilya Korobkin,1997-09-15,Carry,Team Empire,2014-12-31,2016-03-25
236,Ukraine,ALOHADANCE,Ilya Korobkin,1997-09-15,Carry,Virtus.Pro,2016-03-25,2016-06-30
237,Ukraine,ALOHADANCE,Ilya Korobkin,1997-09-15,Carry,F.R.I.E.N.D.S.,2016-07-15,2016-09-12
238,Ukraine,ALOHADANCE,Ilya Korobkin,1997-09-15,Carry,Team Empire,2016-09-12,2016-11-11
239,Ukraine,ALOHADANCE,Ilya Korobkin,1997-09-15,Carry,F.R.I.E.N.D.S.,2016-12-27,2017-04-09
240,Ukraine,ALOHADANCE,Ilya Korobkin,1997-09-15,Carry,Vega Squadron,2017-04-09,
241,Ukraine,ALWAYSWANNAFLY,Andrey Bondarenko,1991-03-06,Support,The Retry,2011-12-08,2012-01-09
242,Ukraine,ALWAYSWANNAFLY,Andrey Bondarenko,1991-03-06,Support,DTS Gaming,2012-01-09,2012-05-24
243,Ukraine,ALWAYSWANNAFLY,Andrey Bondarenko,1991-03-06,Support,Team Empire,2012-05-28,2012-09-13
244,Ukraine,ALWAYSWANNAFLY,Andrey Bondarenko,1991-03-06,Support,Team Kharkiv,2012-09-19,2012-10-04
245,Ukraine,ALWAYSWANNAFLY,Andrey Bondarenko,1991-03-06,Support,Eclypsia,2012-10-04,2012-11-11
246,Ukraine,ALWAYSWANNAFLY,Andrey Bondarenko,1991-03-06,Support,iLuminate,2012-11-11,2013-02-01
247,Ukraine,ALWAYSWANNAFLY,Andrey Bondarenko,1991-03-06,Support,The Retry,2012-09-16,2012-09-27
248,Ukraine,ALWAYSWANNAFLY,Andrey Bondarenko,1991-03-06,Support,iCCup,2013-03-14,2013-08-16
249,Ukraine,ALWAYSWANNAFLY,Andrey Bondarenko,1991-03-06,Support,Terrible Terrible Damage,2013-08-16,2013-09-13
250,Ukraine,ALWAYSWANNAFLY,Andrey Bondarenko,1991-03-06,Support,Team Empire,2013-09-13,2015-08-25
251,Ukraine,ALWAYSWANNAFLY,Andrey Bondarenko,1991-03-06,Support,CIS Rejects,2015-09-03,2015-12-06
252,Ukraine,ALWAYSWANNAFLY,Andrey Bondarenko,1991-03-06,Support,Team Spirit,2015-12-06,2016-05-11
253,Ukraine,ALWAYSWANNAFLY,Andrey Bondarenko,1991-03-06,Support,Polarity,2016-05-13,2016-06-30
254,Ukraine,ALWAYSWANNAFLY,Andrey Bondarenko,1991-03-06,Support,F.R.I.E.N.D.S.,2016-07-15,2016-12-??
255,Ukraine,ALWAYSWANNAFLY,Andrey Bondarenko,1991-03-06,Support,Double Dimension,2017-02-01,2017-03-18
256,Ukraine,ALWAYSWANNAFLY,Andrey Bondarenko,1991-03-06,Support,Thug Life,2017-04-14,2017-05-23
257,Ukraine,ALWAYSWANNAFLY,Andrey Bondarenko,1991-03-06,Support,Gambit Esports,2017-05-23,
258,China,Ame,Wang Chunyu,1997-04-07,Carry,CDEC Youth,2015-09-03,2016-08-22
259,China,Ame,Wang Chunyu,1997-04-07,Carry,LGD Gaming,2016-09-14,2017-12-21
260,China,Ame,Wang Chunyu,1997-04-07,Carry,LGD Gaming,2017-12-21,2018-01-01
261,China,Ame,Wang Chunyu,1997-04-07,Carry,LGD Gaming,2018-01-01,
262,Germany,Amoment,Michael German,N/A,Support,hehe united,2013-10-28,2014-03-24
