id,start,player,team,dob,position,tour,place,prize,pool,end,age,exp,weight,crt,age2,age3,exp2,exp3,const
11,2015-03-09,akke,Alliance,1988-05-26,5,StarLadder StarSeries Season 12,5,6000.0,150000.0,2015-04-26,9783,33,0.7352282742984712,414.33443347574075,95707089,936302451687,1089,35937,1
11,2015-03-28,akke,Alliance,1988-05-26,5,ASUS ROG DreamLeague Season 3,4,12458.0,150581.0,2015-06-15,9802,34,0.7354667530726456,202.0494467896633,96079204,941768357608,1156,39304,1
11,2015-04-06,akke,Alliance,1988-05-26,5,i-League Season 3,5,14935.0,356311.0,2015-05-23,9811,35,0.7885992768912532,25.56727354755617,96255721,944364878731,1225,42875,1
11,2015-04-20,akke,Alliance,1988-05-26,5,joinDOTA MLG Pro League Season 2,2,41812.0,183971.0,2015-06-07,9825,36,0.7478215509497563,33.20057180108006,96530625,948413390625,1296,46656,1
11,2015-05-03,akke,Alliance,1988-05-26,5,RoG Play It Cool Dota 2 Invitational,2,7500.0,30000.0,2015-05-03,9838,37,0.6359443775597338,218.1033408377043,96786244,952183068472,1369,50653,1
11,2015-06-20,akke,Alliance,1988-05-26,5,ESL One Frankfurt 2015,5,14810.0,296202.0,2015-06-21,9886,38,0.7772015584218886,-15.392713907125653,97732996,966188398456,1444,54872,1
11,2015-09-21,akke,Alliance,1988-05-26,5,World Cyber Arena 2015 - European Pro Qualifiers,4,3000.0,97500.0,2015-09-24,9979,39,0.6885640906349999,131.63142122799354,99580441,993713220739,1521,59319,1
11,2015-09-29,akke,Alliance,1988-05-26,5,ASUS ROG DreamLeague Season 4,4,15000.0,130000.0,2015-11-28,9987,40,0.7058076761163765,69.67541723515751,99740169,996105067803,1600,64000,1
11,2015-11-13,akke,Alliance,1988-05-26,5,Frankfurt Major 2015,9,45000.0,3000000.0,2015-11-21,10032,41,0.8939484827604671,-419.71686700587657,100641024,1009630752768,1681,68921,1
11,2016-01-13,akke,Alliance,1988-05-26,5,SL i-League StarSeries Season 1,1,120891.0,302286.0,2016-01-17,10093,42,0.7563871654664464,-20.83465702032322,101868649,1028160274357,1764,74088,1
11,2016-01-19,akke,Alliance,1988-05-26,5,Captains Draft 3.0,3,18623.0,124153.0,2016-02-17,10099,43,0.7030492633023712,-7.658076347174301,101989801,1029995000299,1849,79507,1
11,2016-02-25,akke,Alliance,1988-05-26,5,The Shanghai Major 2016,7,105000.0,3000000.0,2016-03-06,10136,44,0.8939484827604671,-367.0167015007189,102738496,1041357395456,1936,85184,1
11,2016-04-14,akke,Alliance,1988-05-26,5,StarLadder i-League Invitational #1,5,5000.0,99500.0,2016-04-17,10185,45,0.6897811827873919,-49.75651850175177,103734225,1056533081625,2025,91125,1
11,2016-05-09,akke,Alliance,1988-05-26,5,EPICENTER 2016,5,20000.0,400000.0,2016-05-15,10210,46,0.773175741604593,-177.76936124104986,104244100,1064332261000,2116,97336,1
12,2012-11-22,alex,Mousesports,1991-09-07,5,DreamHack Winter 2012,3,3775.0,45299.0,2012-11-25,7747,0,0.7450697431176053,1008.9760576385326,60016009,464944021723,0,0,1
12,2013-02-10,alex,Mousesports,1991-09-07,5,The Premier League Season 4,3,2000.0,20000.0,2013-04-28,7827,3,0.6882530765849391,1147.629980611238,61261929,479497118283,9,27,1
12,2013-02-11,alex,Mousesports,1991-09-07,5,StarLadder StarSeries Season 5,4,1000.0,23000.0,2013-04-07,7828,4,0.6979659768454697,1169.257627844189,61277584,479680927552,16,64,1
12,2013-03-14,alex,Mousesports,1991-09-07,5,DreamHack Dota 2 Invitational,3,1000.0,10000.0,2013-04-18,7859,5,0.640082098733365,1186.1630044993942,61763881,485402340779,25,125,1
12,2013-03-18,alex,Mousesports,1991-09-07,5,RaidCall EMS One Spring Season,3,4000.0,28000.0,2013-04-21,7863,6,0.7116365615251168,1201.0264627655279,61826769,486143884647,36,216,1
13,2015-09-21,alohadance,Team Empire,1997-09-15,4,World Cyber Arena 2015 - European Pro Qualifiers,5,3000.0,97500.0,2015-09-24,6580,9,0.6885640906349999,1132.050733110734,43296400,284890312000,81,729,1
13,2015-09-29,alohadance,Team Empire,1997-09-15,4,ASUS ROG DreamLeague Season 4,2,30000.0,130000.0,2015-11-28,6588,10,0.7058076761163765,1235.8829848930216,43401744,285930689472,100,1000,1
13,2015-11-30,alohadance,Team Empire,1997-09-15,4,Game Show Global eSports Cup Season 1,1,125000.0,160000.0,2015-12-06,6650,11,0.7182535233856827,1362.0305067999616,44222500,294079625000,121,1331,1
13,2015-12-02,alohadance,Team Empire,1997-09-15,4,Dota 2 Champions League Christmas Charity Magic,3,5023.0,10046.0,2015-12-23,6652,12,0.5523403970784754,1278.953706600206,44249104,294345039808,144,1728,1
13,2015-12-17,alohadance,Team Empire,1997-09-15,4,World Cyber Arena 2015,4,46275.0,493600.0,2015-12-20,6667,13,0.7857787245122977,1344.2799159022495,44448889,296340742963,169,2197,1
13,2016-03-19,alohadance,Team Empire,1997-09-15,4,Dota Pit League Season 4,3,25386.0,296819.0,2016-03-20,6760,15,0.755293201653894,1439.1988382145596,45697600,308915776000,225,3375,1
13,2016-04-14,alohadance,Virtus.pro,1997-09-15,4,StarLadder i-League Invitational #1,5,5000.0,99500.0,2016-04-17,6786,16,0.6897811827873919,1423.2403432504861,46049796,312493915656,256,4096,1
13,2016-05-09,alohadance,Virtus.pro,1997-09-15,4,EPICENTER 2016,7,10000.0,400000.0,2016-05-15,6811,17,0.773175741604593,1452.9811329336062,46389721,315960389731,289,4913,1
14,2013-08-31,alwayswannafly,Team Empire,1991-03-06,5,StarLadder StarSeries Season 7,3,3000.0,27000.0,2013-10-13,8214,0,0.6809350606569111,1189.7525190267345,67469796,554196904344,0,0,1
14,2013-09-11,alwayswannafly,Team Empire,1991-03-06,4,WePlay Dota2 League Season 2,4,2000.0,41000.0,2013-11-10,8225,1,0.7088125512685809,1294.3156129795461,67650625,556426390625,1,1,1
14,2013-10-31,alwayswannafly,Team Empire,1991-03-06,4,Electronic Sports World Cup 2013,1,12500.0,35000.0,2013-11-03,8275,2,0.6982534980393392,1398.5558340508046,68475625,566635796875,4,8,1
14,2013-11-16,alwayswannafly,Team Empire,1991-03-06,4,Techlabs Cup 2013 Grand Finals,2,7500.0,25000.0,2013-11-17,8291,3,0.6757990781059036,1383.9585534415432,68740681,569928986171,9,27,1
14,2013-11-25,alwayswannafly,Team Empire,1991-03-06,5,StarLadder StarSeries Season 8,4,12400.0,130200.0,2014-01-19,8300,4,0.7859246331689069,1444.9378018207558,68890000,571787000000,16,64,1
14,2013-12-04,alwayswannafly,Team Empire,1991-03-06,4,Netolic Pro League #4 West,3,1000.0,15000.0,2013-12-12,8309,5,0.6417092132659893,1351.4528345863957,69039481,573649047629,25,125,1
14,2014-01-31,alwayswannafly,Team Empire,1991-03-06,4,Electronic Sports Prime Shock Therapy Cup,2,2000.0,15000.0,2014-02-08,8367,6,0.6417092132659893,1379.7293637801768,70006689,585745966863,36,216,1
14,2014-02-04,alwayswannafly,Team Empire,1991-03-06,4,MLG T.K.O. Europe,2,8500.0,34500.0,2014-04-16,8371,7,0.6972932679879514,1370.4521412175377,70073641,586586448811,49,343,1
14,2014-02-09,alwayswannafly,Team Empire,1991-03-06,5,Dota 2 Champions League Season 2,3,18750.0,197100.0,2014-04-15,8376,8,0.8135955316562243,1458.8448773232242,70157376,587638181376,64,512,1
14,2014-03-03,alwayswannafly,Team Empire,1991-03-06,4,ASUS ROG DreamLeague Season 1,3,31000.0,220000.0,2014-06-16,8398,9,0.8209307801908562,1421.4826459242402,70526404,592280740792,81,729,1
14,2014-03-05,alwayswannafly,Team Empire,1991-03-06,5,StarLadder StarSeries Season 9,2,38000.0,53000.0,2014-04-20,8400,10,0.7259447084541306,1380.1031326494888,70560000,592704000000,100,1000,1
14,2014-04-01,alwayswannafly,Team Empire,1991-03-06,4,HyperX D2L Western Challenge,4,5278.0,64814.0,2014-06-24,8427,11,0.7393737407815365,1302.3487690043482,71014329,598437750483,121,1331,1
14,2014-04-25,alwayswannafly,Team Empire,1991-03-06,5,Dota 2 Champions League Season 3,1,33918.0,81404.0,2014-06-25,8451,12,0.754582795865543,1256.8164490760146,71419401,603565357851,144,1728,1
14,2014-07-08,alwayswannafly,Team Empire,1991-03-06,5,The International 2014,13,21848.0,10967674.0,2014-07-21,8525,13,1.0,1319.7345837275711,72675625,619559703125,169,2197,1
14,2014-08-26,alwayswannafly,Team Empire,1991-03-06,5,Excellent Moscow Cup Season 2,1,37788.0,75576.0,2014-10-29,8574,15,0.6929409854615332,1195.9647739835234,73513476,630304543224,225,3375,1
14,2014-09-01,alwayswannafly,Team Empire,1991-03-06,5,Dota 2 Champions League Season 4,3,11435.0,76236.0,2014-11-02,8580,16,0.6934773686435066,1068.9879460020031,73616400,631628712000,256,4096,1
14,2014-09-11,alwayswannafly,Team Empire,1991-03-06,5,Game Show League Season 1,3,7000.0,50000.0,2014-09-13,8590,17,0.6674564713719021,1043.471976493347,73788100,633839779000,289,4913,1
14,2014-09-25,alwayswannafly,Team Empire,1991-03-06,5,Dota Pit League Season 2,7,2015.0,64479.0,2014-12-23,8604,18,0.6831448935634439,1172.2414120204437,74028816,636943932864,324,5832,1
14,2014-11-14,alwayswannafly,Team Empire,1991-03-06,5,StarLadder StarSeries Season 11,1,38934.0,76138.0,2015-01-18,8654,19,0.6933980181102806,1438.233827486017,74891716,648112910264,361,6859,1
14,2014-12-10,alwayswannafly,Team Empire,1991-03-06,4,Esportal Dota 2 League Invitational Tournament 1,1,8723.0,18692.0,2014-12-14,8680,20,0.6067594145310029,1361.1226185687015,75342400,653972032000,400,8000,1
14,2015-01-21,alwayswannafly,Team Empire,1991-03-06,5,Dota Pit League Season 3,5,10615.0,329068.0,2015-07-12,8722,21,0.7836925984237137,1380.418997365055,76073284,663511183048,441,9261,1
14,2015-01-24,alwayswannafly,Team Empire,1991-03-06,5,joinDOTA MLG Pro League Season 1,1,34584.0,86460.0,2015-04-12,8725,22,0.7012407550994452,1166.7897897641615,76125625,664196078125,484,10648,1
14,2015-02-23,alwayswannafly,Team Empire,1991-03-06,5,Dota 2 Champions League Season 5,1,39752.0,79504.0,2015-05-10,8755,23,0.6960666557826279,1311.3886788737886,76650025,671070968875,529,12167,1
14,2015-03-20,alwayswannafly,Team Empire,1991-03-06,5,Major All Stars Dota 2 Tournament,2,16797.0,111980.0,2015-03-22,8780,24,0.7171957841593795,1231.847300606815,77088400,676836152000,576,13824,1
14,2015-03-28,alwayswannafly,Team Empire,1991-03-06,5,ASUS ROG DreamLeague Season 3,7,5479.0,150581.0,2015-06-15,8788,25,0.7354667530726456,1342.6416275287556,77228944,678687959872,625,15625,1
14,2015-06-03,alwayswannafly,Team Empire,1991-03-06,5,MarsTV Dota 2 League 2015 Spring,2,48363.0,278089.0,2015-06-07,8855,26,0.7733089830813087,1468.3234122048916,78411025,694329626375,676,17576,1
14,2015-07-27,alwayswannafly,Team Empire,1991-03-06,5,The International 2015,9,221155.0,17600281.0,2015-08-08,8909,27,1.0,1550.0947361868425,79370281,707109833429,729,19683,1
14,2015-09-21,alwayswannafly,Team Empire,1991-03-06,5,World Cyber Arena 2015 - European Pro Qualifiers,5,3000.0,97500.0,2015-09-24,8965,28,0.6885640906349999,1322.6198954518266,80371225,720528032125,784,21952,1
14,2016-01-13,alwayswannafly,Team Spirit,1991-03-06,5,SL i-League StarSeries Season 1,7,5047.0,302286.0,2016-01-17,9079,29,0.7563871654664464,1290.484353002451,82428241,748366000039,841,24389,1
14,2016-01-27,alwayswannafly,Team Spirit,1991-03-06,4,MarsTV Dota 2 League 2015 Winter,9,2776.0,274886.0,2016-01-31,9093,30,0.7506918648664372,1287.5068776536489,82682649,751833327357,900,27000,1
14,2016-02-25,alwayswannafly,Team Spirit,1991-03-06,5,The Shanghai Major 2016,13,30000.0,3000000.0,2016-03-06,9122,31,0.8939484827604671,1292.464058083663,83210884,759049683848,961,29791,1
14,2016-04-28,alwayswannafly,Team Spirit,1991-03-06,5,WePlay Dota2 League Season 3,7,5206.0,208240.0,2016-05-01,9185,32,0.7340486876716169,1226.2919504682961,84364225,774885406625,1024,32768,1
14,2016-08-23,alwayswannafly,Fantastic Five,1991-03-06,4,World Cyber Arena 2016 EU Main Qualifier,5,1357.0,54280.0,2016-09-01,9302,33,0.6627877255733546,1106.397836791333,86527204,804876051608,1089,35937,1
17,2012-09-17,arsart,Natus Vincere,1988-08-12,5,StarLadder StarSeries Season 3,1,6000.0,15000.0,2012-10-21,8802,0,0.6682603143996052,1243.8832662933994,77475204,681936745608,0,0,1
17,2012-11-02,arsart,Natus Vincere,1988-08-12,5,Electronic Sports World Cup 2012,1,12000.0,20000.0,2012-11-04,8848,1,0.6882530765849391,1243.934368325824,78287104,692684296192,1,1,1
17,2012-11-22,arsart,Natus Vincere,1988-08-12,5,DreamHack Winter 2012,3,3775.0,45299.0,2012-11-25,8868,2,0.7450697431176053,1189.496095991478,78641424,697392148032,4,8,1
17,2013-02-10,arsart,Virtus.pro,1988-08-12,5,The Premier League Season 4,3,2000.0,20000.0,2013-04-28,8948,5,0.6882530765849391,1169.6377401748646,80066704,716436867392,25,125,1
17,2013-02-11,arsart,Natus Vincere,1988-08-12,5,StarLadder StarSeries Season 5,4,1000.0,23000.0,2013-04-07,8949,6,0.6979659768454697,1094.3958826559308,80084601,716677094349,36,216,1
17,2013-03-14,arsart,Virtus.Pro,1988-08-12,5,DreamHack Dota 2 Invitational,3,1000.0,10000.0,2013-04-18,8980,7,0.640082098733365,1047.9003847260828,80640400,724150792000,49,343,1
17,2013-05-19,arsart,Virtus.pro,1988-08-12,4,StarLadder StarSeries Season 6,3,3000.0,39000.0,2013-07-07,9046,8,0.7346645672714983,970.142126331385,81830116,740235229336,64,512,1
17,2013-05-20,arsart,Virtus.pro,1988-08-12,4,RaidCall Dota 2 League Season 3,3,2000.0,11000.0,2013-07-17,9047,9,0.6467057779304365,1018.9369007254096,81848209,740480746823,81,729,1
17,2013-05-21,arsart,Virtus.pro,1988-08-12,4,The Defense Season 4,4,2000.0,53000.0,2013-07-24,9048,11,0.7559811034023665,1060.6450699678194,81866304,740726318592,121,1331,1
17,2013-06-15,arsart,Virtus.pro,1988-08-12,4,DreamHack Summer 2013,5,1547.0,58798.0,2013-06-17,9073,12,0.7631958982807595,1006.4019647324435,82319329,746883272017,144,1728,1
17,2013-06-28,arsart,Virtus.pro,1988-08-12,5,Corsair Gaming Summer Tournament 2013,2,2500.0,29500.0,2013-07-26,9086,13,0.7152632642379757,1103.7770026837425,82555396,750098328056,169,2197,1
17,2013-08-02,arsart,Virtus.pro,1988-08-12,4,The International 2013,7,43116.0,3219309.0,2013-08-11,9121,14,1.0,923.1439874095756,83192641,758800078561,196,2744,1
17,2013-10-21,arsart,Virtus.pro,1988-08-12,4,Fragbite Masters 2013,5,836.0,34969.0,2013-12-14,9201,16,0.6981943638488097,1264.2555425833793,84658401,778941947601,256,4096,1
17,2013-11-04,arsart,Virtus.Pro,1988-08-12,5,ASUS ROG DreamLeague Kick-Off Season,4,2500.0,55000.0,2013-11-30,9215,17,0.7284166516894216,1289.5559300629623,84916225,782503013375,289,4913,1
17,2013-11-16,arsart,Virtus.Pro,1988-08-12,5,Techlabs Cup 2013 Grand Finals,4,1500.0,25000.0,2013-11-17,9227,18,0.6757990781059036,1258.8749960579971,85137529,785563980083,324,5832,1
17,2013-12-04,arsart,Virtus.pro,1988-08-12,4,Netolic Pro League #4 West,3,1000.0,15000.0,2013-12-12,9245,20,0.6417092132659893,1435.9291395363787,85470025,790170381125,400,8000,1
17,2014-04-25,arsart,Virtus.pro,1988-08-12,5,Dota 2 Champions League Season 3,4,6784.0,81404.0,2014-06-25,9387,24,0.754582795865543,1465.5188093345325,88115769,827142723603,576,13824,1
19,2015-03-28,artstyle,Natus Vincere,1989-04-20,5,ASUS ROG DreamLeague Season 3,2,32437.0,150581.0,2015-06-15,9473,0,0.7354667530726456,1137.1176338694995,89737729,850085506817,0,0,1
19,2015-07-27,artstyle,Natus Vincere,1989-04-20,5,The International 2015,13,55289.0,17600281.0,2015-08-08,9594,1,1.0,983.2177771785314,92044836,883078156584,1,1,1
19,2016-01-13,artstyle,Natus Vincere,1989-04-20,5,SL i-League StarSeries Season 1,7,5047.0,302286.0,2016-01-17,9764,2,0.7563871654664464,1012.9661647154097,95335696,930857735744,4,8,1
19,2016-03-19,artstyle,Natus Vincere,1989-04-20,5,Dota Pit League Season 4,3,25386.0,296819.0,2016-03-20,9830,3,0.755293201653894,1014.1213247054227,96628900,949862087000,9,27,1
