,cog,player,name,dob,role,team,join,joinelo32,joinelo64,joinglicko,joinglickomu,joinglickophi,joinglickosigma,joinglicko2,joinglicko2mu,joinglicko2phi,joinglicko2sigma,leave,leaveelo32,leaveelo64,leaveglicko,leaveglickomu,leaveglickophi,leaveglickosigma,leaveglicko2,leaveglicko2mu,leaveglicko2phi,leaveglicko2sigma
27,Israel,33,Neta Shapira,1997-04-17,2,Planet Dog,2017-06-14,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2017-07-20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
28,Israel,33,Neta Shapira,1997-04-17,2,HellRaisers,2017-07-20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2017-12-12,1055.0158937380977,1049.9366029320265,1274.5377267245603,1748.0061108637171,,189.38735365566274,1622.0308151805557,1748.0061108637171,,189.38735365566274
29,Israel,33,Neta Shapira,1997-04-17,2,Planet Dog,2017-12-12,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2017-12-21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30,Israel,33,Neta Shapira,1997-04-17,2,OpTic Gaming,2017-12-21,1063.6244808020908,1086.7930560304887,1678.7939361312265,1983.9019394012453,,122.04320130800747,1678.7939361312265,1983.9019394012453,,122.04320130800747,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
31,Brazil,4DR,Adriano de,1993-07-13,1,Swagenteiger,2014-01-03,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2014-03-11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
32,Brazil,4DR,Adriano de,1993-07-13,1,CNB e-Sports Club,2014-03-11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2014-09-09,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
33,Brazil,4DR,Adriano de,1993-07-13,1,paiN Gaming,2014-09-09,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2016-10-19,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
34,Brazil,4DR,Adriano de,1993-07-13,1,Kingao+4,2016-10-19,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2016-11-13,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
35,Brazil,4DR,Adriano de,1993-07-13,1,SG e-sports,2016-11-13,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2017-08-29,1012.4621074793115,1029.8648423307263,1090.2216262541838,1916.6459635111335,,330.5697349027799,1626.743006723496,1916.6459635111335,,330.5697349027799
36,Brazil,4DR,Adriano de,1993-07-13,1,SG e-sports,2017-09-10,1011.4744578144137,1027.497987320919,1066.3653126607283,1916.6459635111335,,340.11226034016204,1066.3653126607283,1916.6459635111335,,340.11226034016204,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
37,Russia,BzzIsPerfect,Stanislav Glushan,1992-11-09,1,RoX,2013-01-21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2014-05-31,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
38,Russia,BzzIsPerfect,Stanislav Glushan,1992-11-09,1,Virtus.pro,2014-08-25,1141.2361364715407,1254.4098169739823,1719.4435725468418,1937.2171047508227,,87.10941288159236,1719.4435725468418,1937.2171047508227,,87.10941288159236,2015-03-11,1015.646469124212,1006.0245109001656,1608.0152471887222,1838.55514958759,,92.21596095954715,1688.3641496499429,1838.55514958759,,92.21596095954715
39,Russia,BzzIsPerfect,Stanislav Glushan,1992-11-09,1,4 Clover & Lepricon,2015-03-??,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2015-03-17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
40,Russia,BzzIsPerfect,Stanislav Glushan,1992-11-09,1,Dota AllStars,2015-05-24,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2015-05-26,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
41,Russia,BzzIsPerfect,Stanislav Glushan,1992-11-09,1,Duza Gaming,2015-05-26,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2015-06-08,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
42,Russia,BzzIsPerfect,Stanislav Glushan,1992-11-09,1,Teamless,2015-08-20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2015-09-01,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
43,Russia,BzzIsPerfect,Stanislav Glushan,1992-11-09,1,Fantastic Five,2015-09-04,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2016-01-06,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
44,Russia,BzzIsPerfect,Stanislav Glushan,1992-11-09,1,RoX,2016-01-06,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2016-03-26,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
45,Russia,BzzIsPerfect,Stanislav Glushan,1992-11-09,1,Fantastic Five,2016-03-27,1013.4670306925258,1043.1511896176046,1380.6807808735243,1807.6411480428096,,170.78414686771413,1380.6807808735243,1807.6411480428096,,170.78414686771413,2016-12-15,1011.5698788110625,1047.2948862090116,1279.4138391973738,1806.6324823120272,,210.8874572458613,1613.8419786448444,1806.6324823120272,,210.8874572458613
46,Russia,BzzIsPerfect,Stanislav Glushan,1992-11-09,1,Team Spirit,2016-12-15,1003.2236625870796,1013.1101879265376,982.0034066304179,1857.0034066304179,,350.0,982.0034066304179,1857.0034066304179,,350.0,2017-07-20,1060.9460720979835,1141.7734808928979,1455.0475504690194,1883.784906864285,,171.4949425581063,1641.8952781513535,1883.784906864285,,171.4949425581063
47,Russia,BzzIsPerfect,Stanislav Glushan,1992-11-09,1,Team Spirit,2017-07-20,1060.9460720979835,1141.7734808928979,1455.0475504690194,1883.784906864285,,171.4949425581063,1455.0475504690194,1883.784906864285,,171.4949425581063,2017-08-31,1045.6497186268887,1106.190920739083,1232.7736006884236,1883.784906864285,,260.40452247034455,1627.206897176494,1883.784906864285,,260.40452247034455
48,Russia,BzzIsPerfect,Stanislav Glushan,1992-11-09,1,Spartak Esports,2017-09-12,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2017-11-29,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
49,France,7ckngMad,S?bastien Debs,1992-05-11,2,Team Shakira,2011-??-??,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2012-01-12,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
50,France,7ckngMad,S?bastien Debs,1992-05-11,2,Western Wolves,2012-01-13,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2012-04-15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
51,France,7ckngMad,S?bastien Debs,1992-05-11,2,mTw,2012-04-15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2012-09-18,934.4289782837866,850.5386201935379,1071.549528448066,1474.0674283892906,,161.00715997648985,1405.4145988243301,1474.0674283892906,,161.00715997648985
52,France,7ckngMad,S?bastien Debs,1992-05-11,2,Team Shakira,2012-??-??,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2012-??-??,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
53,France,7ckngMad,S?bastien Debs,1992-05-11,2,DD.Dota,2012-11-17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2013-06-04,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
54,France,7ckngMad,S?bastien Debs,1992-05-11,2,Quantic,2013-06-04,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2013-09-10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
55,France,7ckngMad,S?bastien Debs,1992-05-11,2,DD.Dota,2013-09-10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2013-10-22,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
56,France,7ckngMad,S?bastien Debs,1992-05-11,2,Sigma.int,2013-10-22,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2014-04-11,1089.5753001102307,1164.9954388044068,1712.807850643434,1819.1839497715175,,42.550439651233454,1645.0460975016722,1819.1839497715175,,42.550439651233454
57,France,7ckngMad,S?bastien Debs,1992-05-11,2,Terra Firma eSports,2014-08-12,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2014-08-16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
58,France,7ckngMad,S?bastien Debs,1992-05-11,2,Denial eSports,2014-08-16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2015-01-05,1001.7131224904515,1019.6747525319034,1341.3932861355156,1758.012254408797,,166.6475873093125,1504.7688300632553,1758.012254408797,,166.6475873093125
59,France,7ckngMad,S?bastien Debs,1992-05-11,2,Basically Unknown,2015-01-05,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2015-02-06,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
60,France,7ckngMad,S?bastien Debs,1992-05-11,2,FIRE,2015-02-06,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2015-02-20,1038.6044522801756,1062.0102026132915,1586.9078964617506,1759.6543936402613,,69.09859887140432,1578.1506136112694,1759.6543936402613,,69.09859887140432
61,France,7ckngMad,S?bastien Debs,1992-05-11,2,Champions of Summer's Rift,2015-02-20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2015-03-06,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
62,France,7ckngMad,S?bastien Debs,1992-05-11,2,Alliance,2015-03-06,1054.7062994401365,1133.1244520222463,1612.9089784215134,1838.5333830630227,,90.24976185660368,1612.9089784215134,1838.5333830630227,,90.24976185660368,2015-08-27,1000.7216640112911,1004.2383000059115,1292.3812344011671,1930.38588187507,,255.20185898956117,1667.491806750473,1930.38588187507,,255.20185898956117
63,France,7ckngMad,S?bastien Debs,1992-05-11,2,Monkey Freedom Fighters,2015-08-22,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2015-10-08,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
64,France,7ckngMad,S?bastien Debs,1992-05-11,2,Kaipi,2015-12-07,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2016-04-28,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
65,France,7ckngMad,S?bastien Debs,1992-05-11,2,OG,2016-05-??,1252.7069027915777,1364.9317523921848,1833.8566707659306,2145.7803693989076,,124.76947945319083,1833.8566707659306,2145.7803693989076,,124.76947945319083,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
66,China,820,Zou Yitian,1990-04-13,2,EHOME,2011-??-??,1029.023694206602,1050.313444390936,1609.3760881053695,1869.2393739151985,,103.9453143239316,1609.3760881053695,1869.2393739151985,,103.9453143239316,2012-??-??,1029.023694206602,1050.313444390936,1609.3760881053695,1869.2393739151985,,103.9453143239316,1694.4157043618457,1869.2393739151985,,103.9453143239316
67,Russia,9pasha,Pavel Khvastunov,1992-06-30,1,UrsaStroitHram,2013-01-??,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2014-11-??,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
68,Russia,9pasha,Pavel Khvastunov,1992-06-30,1,BUHLO-UroPb,2014-11-??,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2014-11-24,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
69,Russia,9pasha,Pavel Khvastunov,1992-06-30,1,Vega Squadron,2014-11-24,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2016-03-22,1170.4720160003617,1269.3644647285528,1529.37350234101,1870.8045024022324,,136.57240002448899,1761.7941849152937,1870.8045024022324,,136.57240002448899
70,Russia,9pasha,Pavel Khvastunov,1992-06-30,1,Polarity,2016-03-25,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2016-06-05,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
71,Russia,9pasha,Pavel Khvastunov,1992-06-30,1,Fantastic Five,2016-07-29,1054.3118459021018,1132.6991120857035,1619.2583297099075,1972.6951277783733,,141.37471922738635,1619.2583297099075,1972.6951277783733,,141.37471922738635,2016-08-04,1052.1152594280236,1127.3322336471572,1566.59468425622,1972.6951277783733,,162.44017740886127,1629.955411184334,1972.6951277783733,,162.44017740886127
72,Russia,9pasha,Pavel Khvastunov,1992-06-30,1,Virtus.pro,2016-08-04,1027.6675629283168,1009.2240279480989,1377.3193504250835,1892.5099717680682,,206.07624853719395,1377.3193504250835,1892.5099717680682,,206.07624853719395,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
73,China,Dogf1ghts,Gao Tianpeng,1995-12-05,2,Vici Gaming Potential,2015-03-15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2016-03-19,1014.2155286864734,1022.3808185230553,1106.8076922407406,1762.4538431498788,,262.2584603636553,1541.3771856374296,1762.4538431498788,,262.2584603636553
74,China,Dogf1ghts,Gao Tianpeng,1995-12-05,2,iG Vitality,2016-03-19,1024.782448086597,1007.54677577183,1207.9251104176653,1829.6969698625096,,248.7087437779377,1207.9251104176653,1829.6969698625096,,248.7087437779377,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
75,Thailand,AabBAA,Chanon Chiwpreecha,1990-09-07,1,MiTH.Trust,2011-??-??,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2014-05-29,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
76,Thailand,AabBAA,Chanon Chiwpreecha,1990-09-07,1,Signature.Trust,2015-01-20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2017-01-08,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
77,Philippines,Abed,Abed Azel,2000-08-02,1,Trackmate.Tric,2015-03-01,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2015-06-30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
78,Philippines,Abed,Abed Azel,2000-08-02,1,Execration,2016-02-10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2016-12-30,1090.9966479499565,1126.4663526401202,1418.1647519455805,1767.4289449326102,,139.70567719481193,1637.6968916820158,1767.4289449326102,,139.70567719481193
79,Philippines,Abed,Abed Azel,2000-08-02,1,Team Onyx,2017-01-01,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2017-04-14,1066.9725679751448,1134.6409574239665,1499.039410442731,1946.344692996962,,178.9221130216924,1653.662428767409,1946.344692996962,,178.9221130216924
80,Philippines,Abed,Abed Azel,2000-08-02,1,Digital Chaos,2017-04-14,1071.7724464798578,1084.5176479951592,1441.8910081820666,1995.7078026301715,,221.52671777924198,1441.8910081820666,1995.7078026301715,,221.52671777924198,2017-10-27,1055.0245425044482,1086.128309507613,1396.0465414838543,1826.2326817921414,,172.07445612331486,1731.408766594353,1826.2326817921414,,172.07445612331486
81,Philippines,Abed,Abed Azel,2000-08-02,1,Fnatic,2017-11-08,1005.7230990241308,1017.8095814780685,1776.2005515619562,2006.8545111276512,,92.26158382627798,1776.2005515619562,2006.8545111276512,,92.26158382627798,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
82,Peru,Accel,Christian Cruz,1995-10-20,2,Team Unknown,2015-??-??,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2015-12-08,966.6047984997804,966.8695171285246,1273.5357511311163,1746.7155846732805,,189.27193341686572,1507.893909164798,1746.7155846732805,,189.27193341686572
83,Peru,Accel,Christian Cruz,1995-10-20,2,As1-,2015-12-08,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2015-12-??,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
84,Peru,Accel,Christian Cruz,1995-10-20,2,Infamous,2015-12-??,1166.2829703572243,1288.7305016376695,1584.477391867811,1872.5190789753794,,115.21667484302733,1584.477391867811,1872.5190789753794,,115.21667484302733,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
85,Denmark,Ace,Marcus Hoelgaard,1994-01-19,1,Gamer University,2012-06-12,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2012-11-13,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
86,Denmark,Ace,Marcus Hoelgaard,1994-01-19,1,3DMAX,2012-11-13,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2013-04-03,913.7522968658843,916.8696785522812,1162.926376591829,1476.5749782880541,,125.45944067849,1338.984167981927,1476.5749782880541,,125.45944067849
87,Denmark,Ace,Marcus Hoelgaard,1994-01-19,1,Team Life,2013-08-21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2013-10-16,1111.4628967230037,1183.3572068001565,1476.1976767696065,1789.8363610653857,,125.45547371831167,1525.3714554585404,1789.8363610653857,,125.45547371831167
88,Denmark,Ace,Marcus Hoelgaard,1994-01-19,1,Mousesports,2013-10-16,1072.8464124445345,1105.1920242725034,1475.7742806445567,1848.5135679960313,,149.09571494058977,1475.7742806445567,1848.5135679960313,,149.09571494058977,2014-01-23,970.8264602556125,1000.7468851326676,1475.7702050919756,1703.3410568086517,,91.02834068667046,1543.3212145694424,1703.3410568086517,,91.02834068667046
89,Denmark,Ace,Marcus Hoelgaard,1994-01-19,1,Team Life,2014-01-24,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2014-02-09,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
90,Denmark,Ace,Marcus Hoelgaard,1994-01-19,1,Meet Your Makers,2014-02-09,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2014-09-30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
